"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2016/2017","bundesliga",1,"Friday","26","August","2016","7:30pm","Allianz Arena",NA,NA,NA,"Bayern Munich","Werder Bremen",6,0,"9 13 46 77 66 73","NA",1,0,"77",NA,1,0,"77",NA,0,0,NA,NA,NA,NA,NA,NA,70.5,29.5,0,1,NA,"87",0,0,NA,NA,7,8,"8","7",27,4,14,2,6,1,7,1,8,1,1,1,0,NA,0,NA,6,1,1,0,0,1,0,15,31,16,7,8,9,2,"victory","Bayern Munich","Werder Bremen",1,0
"2","2016/2017","bundesliga",1,"Saturday","27","August","2016","2:30pm","SGL Arena",NA,NA,NA,"FC Augsburg","Wolfsburg",0,2,"NA","35 89",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46,54,1,2,"66","62 31",0,0,NA,NA,15,17,"17","15",13,12,2,6,7,3,4,3,2,3,0,1,0,NA,0,NA,2,0,0,0,0,3,0,32,25,8,10,7,5,1,"victory","Wolfsburg","FC Augsburg",0,1
"3","2016/2017","bundesliga",1,"Saturday","27","August","2016","2:30pm","RheinEnergieStadion",NA,NA,NA,"Cologne","SV Darmstadt 98",2,0,"11 61","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,59.1,40.9,3,3,"19 69 90+1","27 47 38",0,0,NA,NA,11,15,"15","9",21,12,8,3,10,5,3,4,6,5,5,2,0,NA,0,NA,2,0,0,0,0,6,0,26,33,11,15,7,11,7,"victory","Cologne","SV Darmstadt 98",1,0
"4","2016/2017","bundesliga",1,"Saturday","27","August","2016","5:30pm","BORUSSIA-PARK",NA,NA,NA,"M'gladbach","Bayer Leverkusen",2,1,"45+1 85","79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50.5,49.5,3,3,"90+4 40 74","64 75 74",0,0,NA,NA,11,16,"15","11",13,12,9,6,2,4,2,2,7,3,3,4,0,NA,0,NA,3,0,0,0,0,6,0,27,25,15,6,4,10,7,"victory","M'gladbach","Bayer Leverkusen",1,0
"5","2016/2017","bundesliga",1,"Sunday","28","August","2016","4:30pm","WIRSOL Rhein-Neckar-Arena",NA,NA,NA,"Hoffenheim","RB Leipzig",2,2,"55 83","58 90",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.5,43.5,2,4,"51 22","20 54 74 79",0,0,NA,NA,12,14,"11","12",11,23,5,9,5,7,1,7,2,9,1,1,0,NA,0,NA,4,0,0,0,0,6,0,26,34,14,12,8,11,2,"draw",NA,NA,NA,NA
"6","2016/2017","bundesliga",1,"Saturday","27","August","2016","2:30pm","Commerzbank Arena",NA,NA,NA,"Eintracht Frankfurt","Schalke",1,0,"13","NA",1,0,"68",NA,0,0,NA,NA,1,0,"68",NA,NA,NA,NA,NA,44,56,2,2,"87 88","67 89",1,0,NA,NA,11,15,"13","11",11,11,4,3,6,7,1,1,7,5,0,5,0,NA,0,NA,1,1,0,1,0,4,1,26,22,7,13,2,12,5,"victory","Eintracht Frankfurt","Schalke",1,0
"7","2016/2017","bundesliga",1,"Saturday","27","August","2016","2:30pm","Imtech Arena",NA,NA,NA,"Hamburg","FC Ingolstadt 04",1,1,"30","79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47.4,52.6,2,2,"32 89","7 32",0,0,NA,NA,17,15,"15","17",8,13,1,5,5,4,2,4,4,5,1,1,0,NA,0,NA,2,0,0,0,0,4,0,32,21,6,9,6,9,2,"draw",NA,NA,NA,NA
"8","2016/2017","bundesliga",1,"Saturday","27","August","2016","2:30pm","Signal Iduna Park",NA,NA,NA,"Borussia Dortmund","Mainz",2,1,"17 89","90+2",1,0,"89",NA,1,0,"89",NA,0,0,NA,NA,NA,NA,NA,NA,73.8,26.2,0,3,NA,"13 44 88",0,0,NA,NA,3,20,"20","3",17,12,8,4,5,4,4,4,7,2,2,4,0,NA,0,NA,3,1,1,0,0,3,0,23,29,12,9,8,9,6,"victory","Borussia Dortmund","Mainz",1,0
"9","2016/2017","bundesliga",1,"Sunday","28","August","2016","2:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","SC Freiburg",2,1,"62 90+5","90+3",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,54.7,45.3,0,3,NA,"34 90+7 83",0,0,NA,NA,10,10,"10","10",15,8,5,2,5,3,5,3,5,2,1,0,0,NA,0,NA,3,0,0,0,0,3,0,20,23,7,8,8,7,1,"victory","Hertha Berlin","SC Freiburg",1,0
"10","2016/2017","bundesliga",2,"Friday","9","September","2016","7:30pm","Veltins Arena",NA,NA,NA,"Schalke","Bayern Munich",0,2,"NA","81 90+2",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,31.3,68.7,2,4,"38 90+1","17 90+1 69 71",0,0,NA,NA,13,12,"12","13",9,18,2,2,4,11,3,5,2,7,2,2,0,NA,0,NA,2,0,0,0,0,6,0,25,27,4,15,8,9,4,"victory","Bayern Munich","Schalke",0,1
