"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"96","2013/2014","bundesliga",11,"Saturday","2","November","2013","2:30pm","easyCredit Stadion",NA,NA,NA,"FC Nurnberg","SC Freiburg",0,3,"NA","57 79 88",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,59.5,40.5,0,2,NA,"54 36",0,1,"70",NA,10,15,"15","10",19,11,13,8,6,3,0,0,9,5,4,1,0,NA,0,NA,3,0,0,0,0,2,1,25,30,21,9,0,14,5,"victory","SC Freiburg","FC Nurnberg",0,1
"97","2013/2014","bundesliga",11,"Saturday","2","November","2013","2:30pm","Imtech Arena",NA,NA,NA,"Hamburg","M'gladbach",0,2,"NA","23 63",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.7,48.3,0,2,NA,"46 73",0,0,NA,NA,12,12,"12","11",14,6,8,4,6,2,0,0,7,2,0,2,0,NA,0,NA,2,0,0,0,0,2,0,24,20,12,8,0,9,2,"victory","M'gladbach","Hamburg",0,1
"98","2013/2014","bundesliga",11,"Saturday","2","November","2013","2:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","Schalke",0,2,"NA","26 90+4",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.3,41.7,3,1,"76 55 72","43",0,0,NA,NA,21,18,"17","21",15,10,9,5,6,5,0,0,6,4,1,4,0,NA,0,NA,2,0,0,0,0,4,0,39,25,14,11,0,10,5,"victory","Schalke","Hertha Berlin",0,1
"99","2013/2014","bundesliga",11,"Sunday","3","November","2013","2:30pm","Impuls Arena",NA,NA,NA,"FC Augsburg","Mainz",2,1,"26 49","59",0,1,NA,"59",0,1,NA,"59",0,0,NA,NA,NA,NA,NA,NA,60.6,39.4,3,3,"58 70 90+3","32 90+1 61",0,1,"88",NA,13,21,"19","13",14,9,7,4,7,5,0,0,6,3,1,2,0,NA,0,NA,3,1,1,0,0,6,1,34,23,11,12,0,9,3,"victory","FC Augsburg","Mainz",1,0
"100","2013/2014","bundesliga",12,"Friday","8","November","2013","7:30pm","AWD-Arena",NA,NA,NA,"Hannover 96","Eintracht Braunschweig",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.7,43.3,2,1,"58 54","13",0,0,NA,NA,27,16,"15","27",18,4,6,1,12,3,0,0,6,2,0,1,0,NA,0,NA,0,0,0,0,0,3,0,43,22,7,15,0,8,1,"draw",NA,NA,NA,NA
"101","2013/2014","bundesliga",12,"Saturday","9","November","2013","2:30pm","Veltins Arena",NA,NA,NA,"Schalke","Werder Bremen",3,1,"64 85 90+1","22",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,62.5,37.5,2,4,"17 69","60 36 35 59",0,0,NA,NA,16,20,"20","15",13,8,6,3,7,5,0,0,6,2,2,1,0,NA,0,NA,4,0,0,0,0,6,0,36,21,9,12,0,8,3,"victory","Schalke","Werder Bremen",1,0
"102","2013/2014","bundesliga",12,"Saturday","9","November","2013","2:30pm","Volkswagen Arena",NA,NA,NA,"Wolfsburg","Borussia Dortmund",2,1,"56 69","45+2",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,43.4,56.6,2,5,"45+1 9","24 12 85 81 85",0,0,NA,NA,14,19,"18","14",10,10,4,2,6,8,0,0,5,2,2,3,0,NA,0,NA,3,0,0,0,0,7,0,33,20,6,14,0,7,5,"victory","Wolfsburg","Borussia Dortmund",1,0
"103","2013/2014","bundesliga",12,"Saturday","9","November","2013","5:30pm","Borussia-Park",NA,NA,NA,"M'gladbach","FC Nurnberg",3,1,"72 75 87","21",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,60.9,39.1,2,2,"56 32","74 75",0,0,NA,NA,8,18,"17","7",9,15,4,3,5,12,0,0,6,3,1,2,0,NA,1,"75",4,0,0,0,1,4,0,26,24,7,17,0,9,3,"victory","M'gladbach","FC Nurnberg",1,0
"104","2013/2014","bundesliga",12,"Sunday","10","November","2013","4:30pm","MAGE SOLAR Stadion",NA,NA,NA,"SC Freiburg","Stuttgart",1,3,"78","9 10 82",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.4,47.6,2,1,"28 90+2","44",0,0,NA,NA,7,13,"12","7",11,9,5,7,6,2,0,0,7,2,1,7,0,NA,0,NA,4,0,0,0,0,3,0,20,20,12,8,0,9,8,"victory","Stuttgart","SC Freiburg",0,1
"105","2013/2014","bundesliga",12,"Saturday","9","November","2013","2:30pm","Allianz Arena",NA,NA,NA,"Bayern Munich","FC Augsburg",3,0,"4 42 90+5","NA",1,0,"90+5",NA,1,0,"90+5",NA,0,0,NA,NA,NA,NA,NA,NA,71.8,28.2,0,0,NA,NA,0,0,NA,NA,12,11,"10","12",18,7,9,0,9,7,0,0,9,4,0,4,0,NA,0,NA,3,1,1,0,0,0,0,23,25,9,16,0,13,4,"victory","Bayern Munich","FC Augsburg",1,0
"106","2013/2014","bundesliga",12,"Saturday","9","November","2013","2:30pm","BayArena",NA,NA,NA,"Bayer Leverkusen","Hamburg",5,3,"9 16 55 72 89","23 49 74",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.2,53.8,3,3,"59 24 76","83 76 87",0,0,NA,NA,12,19,"18","11",14,9,7,6,7,3,0,0,3,6,1,0,0,NA,0,NA,8,0,0,0,0,6,0,31,23,13,10,0,9,1,"victory","Bayer Leverkusen","Hamburg",1,0
"107","2013/2014","bundesliga",12,"Saturday","9","November","2013","2:30pm","Rhein-Neckar Arena",NA,NA,NA,"Hoffenheim","Hertha Berlin",2,3,"70 81","13 53 84",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.7,41.3,2,3,"38 76","18 24 58",0,0,NA,NA,22,20,"20","22",9,12,7,5,2,7,0,0,3,3,3,3,0,NA,0,NA,5,0,0,0,0,5,0,42,21,12,9,0,6,6,"victory","Hertha Berlin","Hoffenheim",0,1
"108","2013/2014","bundesliga",12,"Sunday","10","November","2013","2:30pm","Coface Arena",NA,NA,NA,"Mainz","Eintracht Frankfurt",1,0,"88","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,36.8,63.2,4,1,"66 17 41 83","48",0,0,NA,NA,21,18,"18","20",18,13,9,4,9,9,0,0,6,6,4,2,0,NA,0,NA,1,0,0,0,0,5,0,39,31,13,18,0,12,6,"victory","Mainz","Eintracht Frankfurt",1,0
"109","2013/2014","bundesliga",13,"Friday","22","November","2013","7:30pm","Mercedes-Benz Arena",NA,NA,NA,"Stuttgart","M'gladbach",0,2,"NA","37 73",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,49.3,50.7,0,2,NA,"83 75",0,0,NA,NA,14,10,"10","13",6,18,2,11,4,7,0,0,1,5,1,2,0,NA,0,NA,2,0,0,0,0,2,0,24,24,13,11,0,6,3,"victory","M'gladbach","Stuttgart",0,1
"110","2013/2014","bundesliga",13,"Saturday","23","November","2013","2:30pm","Impuls Arena",NA,NA,NA,"FC Augsburg","Hoffenheim",2,0,"17 23","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,54.5,45.5,2,3,"54 64","31 74 71",0,0,NA,NA,14,25,"24","14",15,7,5,3,10,4,0,0,5,4,3,1,0,NA,0,NA,2,0,0,0,0,5,0,39,22,8,14,0,9,4,"victory","FC Augsburg","Hoffenheim",1,0
