"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2020/2021","premier league",1,"Saturday","12","September","2020","12:30pm","Craven Cottage.",NA,"Chris Kavanagh","David Coote","Fulham","Arsenal",0,3,"NA","8 49 57",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,45.6,54.4,2,2,"26 61","55 39",0,0,NA,NA,12,12,"11","12",5,13,2,6,2,4,1,3,2,3,2,2,0,NA,0,NA,3,0,0,0,0,4,0,24,18,8,6,4,5,4,"victory","Arsenal","Fulham",0,1
"2","2020/2021","premier league",1,"Saturday","12","September","2020","5:30pm","Anfield.",NA,"Michael Oliver","Paul Tierney","Liverpool","Leeds United",4,3,"4 33 88 20","12 30 66",2,0,"4 88",NA,2,0,"4 88",NA,0,0,NA,NA,NA,NA,NA,NA,48.8,51.2,1,0,"76",NA,0,0,NA,NA,9,6,"5","9",22,6,6,3,3,1,13,2,9,0,2,5,0,NA,0,NA,7,2,2,0,0,1,0,15,28,9,4,15,9,7,"victory","Liverpool","Leeds United",1,0
"3","2020/2021","premier league",1,"Sunday","13","September","2020","2:00pm","The Hawthorns.",NA,"Anthony Taylor","Stuart Attwell","West Bromwich Albion","Leicester City",0,3,"NA","56 74 84",0,2,NA,"74 84",0,2,NA,"74 84",0,0,NA,NA,NA,NA,NA,NA,35.8,64.2,1,1,"63","16",0,0,NA,NA,12,9,"9","11",7,13,1,7,3,3,3,3,2,5,4,3,0,NA,0,NA,3,2,2,0,0,2,0,21,20,8,6,6,7,7,"victory","Leicester City","West Bromwich Albion",0,1
"4","2020/2021","premier league",1,"Monday","14","September","2020","6:00pm","Bramall Lane.",NA,"Mike Dean","Graham Scott","Sheffield United","Wolverhampton Wanderers",0,2,"NA","3 6",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,55.1,44.9,2,1,"33 39","90+1",0,0,NA,NA,13,7,"7","13",9,11,2,4,5,5,2,2,12,5,4,0,0,NA,0,NA,2,0,0,0,0,3,0,20,20,6,10,4,17,4,"victory","Wolverhampton Wanderers","Sheffield United",0,1
"5","2020/2021","premier league",1,"Tuesday","12","January","2021","8:15pm","Turf Moor.",NA,"Kevin Friend","Stuart Attwell","Burnley","Manchester United",0,1,"NA","71",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,37.3,62.7,1,2,"62","32 45+3",0,0,NA,NA,15,13,"13","14",11,13,0,7,6,2,5,4,3,4,3,2,0,NA,0,NA,1,0,0,0,0,3,0,28,24,7,8,9,7,5,"victory","Manchester United","Burnley",0,1
"6","2020/2021","premier league",1,"Saturday","12","September","2020","3:00pm","Selhurst Park.",NA,"Jonathan Moss","Craig Pawson","Crystal Palace","Southampton",1,0,"13","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,29.4,70.6,2,1,"58 41","51",0,0,NA,NA,14,11,"10","14",5,9,3,5,2,3,0,1,7,3,4,0,0,NA,0,NA,1,0,0,0,0,3,0,25,14,8,5,1,10,4,"victory","Crystal Palace","Southampton",1,0
"7","2020/2021","premier league",1,"Saturday","12","September","2020","8:00pm","London Stadium.",NA,"Stuart Attwell","Peter Bankes","West Ham United","Newcastle United",0,2,"NA","56 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.3,41.7,2,2,"54 70","68 13",0,0,NA,NA,13,7,"7","11",15,15,3,2,5,7,7,6,8,7,2,4,0,NA,0,NA,2,0,0,0,0,4,0,20,30,5,12,13,15,6,"victory","Newcastle United","West Ham United",0,1
"8","2020/2021","premier league",1,"Sunday","13","September","2020","4:30pm","Tottenham Hotspur Stadium.",NA,"Martin Atkinson","Andre Marriner","Tottenham Hotspur","Everton",0,1,"NA","55",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.6,48.4,1,0,"85",NA,0,0,NA,NA,15,7,"6","14",9,15,5,4,1,7,3,4,5,3,0,1,0,NA,0,NA,1,0,0,0,0,1,0,22,24,9,8,7,8,1,"victory","Everton","Tottenham Hotspur",0,1
"9","2020/2021","premier league",1,"Monday","14","September","2020","8:15pm","Amex Stadium.",NA,"Craig Pawson","Kevin Friend","Brighton and Hove Albion","Chelsea",1,3,"54","23 56 66",0,1,NA,"23",0,1,NA,"23",0,0,NA,NA,NA,NA,NA,NA,52.3,47.7,1,0,"81",NA,0,0,NA,NA,8,13,"11","8",13,10,3,5,6,2,4,3,4,3,0,3,0,NA,0,NA,4,1,1,0,0,1,0,21,23,8,8,7,7,3,"victory","Chelsea","Brighton and Hove Albion",0,1
"10","2020/2021","premier league",1,"Wednesday","20","January","2021","6:00pm","Etihad Stadium.",NA,"Jonathan Moss","Andy Madley","Manchester City","Aston Villa",2,0,"79 90","NA",1,0,"90",NA,1,0,"90",NA,0,0,NA,NA,NA,NA,NA,NA,69.1,30.9,0,2,NA,"67 86",0,0,NA,NA,10,9,"8","10",28,11,9,4,7,4,12,3,16,2,3,1,0,NA,0,NA,2,1,1,0,0,2,0,19,39,13,11,15,18,4,"victory","Manchester City","Aston Villa",1,0
