"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2015/2016","premier league",1,"Saturday","8","August","2015","12:45pm","Old Trafford",NA,NA,NA,"Manchester United","Tottenham Hotspur",1,0,"22","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50,50,2,2,"90 69","76 90+1",0,0,NA,NA,12,12,"12","12",9,9,1,4,4,2,4,3,1,2,1,2,0,NA,1,"22",1,0,0,0,1,4,0,24,18,5,6,7,3,3,"victory","Manchester United","Tottenham Hotspur",1,0
"2","2015/2016","premier league",1,"Saturday","8","August","2015","3:00pm","Goodison Park",NA,NA,NA,"Everton","Watford",2,2,"76 86","14 83",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,66.6,33.4,1,2,"54","66 42",0,0,NA,NA,7,13,"13","7",10,11,5,5,3,3,2,3,8,2,4,1,0,NA,0,NA,4,0,0,0,0,3,0,20,21,10,6,5,10,5,"draw",NA,NA,NA,NA
"3","2015/2016","premier league",1,"Saturday","8","August","2015","3:00pm","Carrow Road",NA,NA,NA,"Norwich City","Crystal Palace",1,3,"69","39 49 90+4",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,62.9,37.1,1,0,"23",NA,0,0,NA,NA,14,20,"18","14",17,11,6,7,9,2,2,2,1,4,4,2,0,NA,0,NA,4,0,0,0,0,1,0,34,28,13,11,4,5,6,"victory","Crystal Palace","Norwich City",0,1
"4","2015/2016","premier league",1,"Sunday","9","August","2015","1:30pm","Emirates Stadium",NA,NA,NA,"Arsenal","West Ham United",0,2,"NA","43 57",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61.8,38.2,1,3,"69","37 7 5",0,0,NA,NA,12,9,"9","12",22,8,6,4,7,2,9,2,5,4,3,1,0,NA,0,NA,2,0,0,0,0,4,0,21,30,10,9,11,9,4,"victory","West Ham United","Arsenal",0,1
"5","2015/2016","premier league",1,"Sunday","9","August","2015","4:00pm","Bet365 Stadium",NA,NA,NA,"Stoke City","Liverpool",0,1,"NA","86",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47,53,2,4,"73 4","28 50 63 39",0,0,NA,NA,9,16,"16","9",7,8,1,3,4,1,2,4,3,5,3,2,0,NA,0,NA,1,0,0,0,0,6,0,25,15,4,5,6,8,5,"victory","Liverpool","Stoke City",0,1
"6","2015/2016","premier league",1,"Saturday","8","August","2015","3:00pm","Vitality Stadium",NA,NA,NA,"Bournemouth","Aston Villa",0,1,"NA","72",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.4,41.6,3,4,"42 80 24","74 45+1 75 90+2",0,0,NA,NA,13,13,"13","13",11,7,2,3,7,2,2,2,6,3,0,0,0,NA,0,NA,1,0,0,0,0,7,0,26,18,5,9,4,9,0,"victory","Aston Villa","Bournemouth",0,1
"7","2015/2016","premier league",1,"Saturday","8","August","2015","3:00pm","The King Power Stadium",NA,NA,NA,"Leicester City","Sunderland",4,2,"11 18 25 66","60 71",1,0,"25",NA,1,0,"25",NA,0,0,NA,NA,NA,NA,NA,NA,44,56,2,4,"90+1 49","42 85 73 17",0,0,NA,NA,13,17,"16","12",20,11,8,5,8,4,4,2,6,3,0,1,0,NA,0,NA,6,1,1,0,0,6,0,30,31,13,12,6,9,1,"victory","Leicester City","Sunderland",1,0
"8","2015/2016","premier league",1,"Saturday","8","August","2015","5:30pm","Stamford Bridge",NA,NA,NA,"Chelsea","Swansea City",2,2,"23 30","29 55",0,1,NA,"55",0,1,NA,"55",0,0,NA,NA,NA,NA,NA,NA,52,48,1,3,"54","90+3 18 45+2",1,0,NA,NA,15,16,"15","15",11,17,3,10,5,2,3,5,4,8,2,4,0,NA,1,"30",4,1,1,0,1,4,1,31,28,13,7,8,12,6,"draw",NA,NA,NA,NA
"9","2015/2016","premier league",1,"Sunday","9","August","2015","1:30pm","St James' Park, Newcastle",NA,NA,NA,"Newcastle United","Southampton",2,2,"42 48","24 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.3,43.7,2,4,"55 75","12 60 87 90+3",0,0,NA,NA,9,12,"12","9",9,14,4,4,3,7,2,3,6,6,0,3,0,NA,0,NA,4,0,0,0,0,6,0,21,23,8,10,5,12,3,"draw",NA,NA,NA,NA
"10","2015/2016","premier league",1,"Monday","10","August","2015","8:00pm","The Hawthorns",NA,NA,NA,"West Bromwich Albion","Manchester City",0,3,"NA","9 24 59",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30.9,69.1,4,1,"58 57 39 62","51",0,0,NA,NA,12,9,"9","12",9,20,2,7,6,2,1,11,6,6,2,0,0,NA,0,NA,3,0,0,0,0,5,0,21,29,9,8,12,12,2,"victory","Manchester City","West Bromwich Albion",0,1
