"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2011/2012","premier league",1,"Saturday","13","August","2011","3:00pm","Ewood Park",NA,NA,NA,"Blackburn Rovers","Wolverhampton Wanderers",1,2,"20","22 47",0,1,NA,"46",0,0,NA,NA,0,1,NA,"46",NA,NA,NA,NA,NA,NA,4,2,"89 38 36 60","21 19",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,3,1,0,1,0,6,0,NA,NA,NA,NA,NA,NA,NA,"victory","Wolverhampton Wanderers","Blackburn Rovers",0,1
"2","2011/2012","premier league",1,"Saturday","13","August","2011","3:00pm","Anfield",NA,NA,NA,"Liverpool","Sunderland",1,1,"12","57",1,0,"7",NA,0,0,NA,NA,1,0,"7",NA,NA,NA,NA,NA,NA,NA,4,4,"45 65 60 72","45+1 6 78 27",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,1,0,1,0,8,0,NA,NA,NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
"3","2011/2012","premier league",1,"Saturday","13","August","2011","3:00pm","DW Stadium",NA,NA,NA,"Wigan Athletic","Norwich City",1,1,"21","45",1,0,"21",NA,1,0,"21",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"85 84","1 72",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,1,1,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
"4","2011/2012","premier league",1,"Sunday","14","August","2011","1:30pm","Bet365 Stadium",NA,NA,NA,"Stoke City","Chelsea",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"10 80","66 88",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
"5","2011/2012","premier league",1,"Monday","15","August","2011","8:00pm","Etihad Stadium",NA,NA,NA,"Manchester City","Swansea City",4,0,"57 68 90+1 71","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"victory","Manchester City","Swansea City",1,0
"6","2011/2012","premier league",1,"Saturday","13","August","2011","3:00pm","Craven Cottage",NA,NA,NA,"Fulham","Aston Villa",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"21 82","84 82 58 45+2",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,6,0,NA,NA,NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
"7","2011/2012","premier league",1,"Saturday","13","August","2011","3:00pm","Kiyan Prince Foundation Stadium",NA,NA,NA,"Queens Park Rangers","Bolton Wanderers",0,4,"NA","45+2 67 70 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"52","76 31",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"67",0,NA,4,0,0,0,1,3,1,NA,NA,NA,NA,NA,NA,NA,"victory","Bolton Wanderers","Queens Park Rangers",0,1
"8","2011/2012","premier league",1,"Saturday","13","August","2011","5:30pm","St James' Park, Newcastle",NA,NA,NA,"Newcastle United","Arsenal",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,5,"45+1 76 67","78 90+1 48 52 29",0,1,"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,8,1,NA,NA,NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
"9","2011/2012","premier league",1,"Sunday","14","August","2011","4:00pm","The Hawthorns",NA,NA,NA,"West Bromwich Albion","Manchester United",1,2,"37","13 81",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"39 87 90+2","56 80",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"81",0,NA,3,0,0,0,1,5,0,NA,NA,NA,NA,NA,NA,NA,"victory","Manchester United","West Bromwich Albion",0,1
"10","2011/2012","premier league",1,"Wednesday","11","January","2012","7:45pm","White Hart Lane",NA,NA,NA,"Tottenham Hotspur","Everton",2,0,"35 63","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"74","45+2 83 85",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,0,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,"victory","Tottenham Hotspur","Everton",1,0
