"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2018/2019","premier league",1,"Friday","10","August","2018","8:00pm","Old Trafford",NA,NA,NA,"Manchester United","Leicester City",2,1,"3 83","90+2",1,0,"3",NA,1,0,"3",NA,0,0,NA,NA,NA,NA,NA,NA,46.3,53.7,2,1,"54 69","51",0,0,NA,NA,11,8,"7","11",8,13,6,4,1,3,1,6,2,5,4,2,0,NA,0,NA,3,1,1,0,0,3,0,19,21,10,4,7,7,6,"victory","Manchester United","Leicester City",1,0
"2","2018/2019","premier league",1,"Saturday","11","August","2018","3:00pm","Vitality Stadium",NA,NA,NA,"Bournemouth","Cardiff City",2,0,"24 90+1","NA",1,0,"34",NA,0,0,NA,NA,1,0,"34",NA,NA,NA,NA,NA,62.9,37.1,1,1,"43","3",0,0,NA,NA,11,9,"8","11",12,10,4,1,6,5,2,4,7,4,0,2,0,NA,0,NA,2,1,0,1,0,2,0,20,22,5,11,6,11,2,"victory","Bournemouth","Cardiff City",1,0
"3","2018/2019","premier league",1,"Saturday","11","August","2018","3:00pm","The John Smith's Stadium",NA,NA,NA,"Huddersfield Town","Chelsea",0,3,"NA","34 45",0,1,NA,"45",0,1,NA,"45",0,0,NA,NA,NA,NA,NA,NA,37.2,62.8,2,1,"44 83","69",0,0,NA,NA,9,8,"8","8",6,13,1,4,4,3,1,6,2,5,2,1,0,NA,0,NA,3,1,1,0,0,3,0,17,19,5,7,7,7,3,"victory","Chelsea","Huddersfield Town",0,1
"4","2018/2019","premier league",1,"Saturday","11","August","2018","5:30pm","Molineux",NA,NA,NA,"Wolverhampton Wanderers","Everton",2,2,"44 80","17 67",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57.4,42.6,0,1,NA,"14",0,1,"40",NA,8,7,"7","8",11,8,4,5,5,3,2,0,3,6,2,3,0,NA,0,NA,4,0,0,0,0,1,1,15,19,9,8,2,9,5,"draw",NA,NA,NA,NA
"5","2018/2019","premier league",1,"Sunday","12","August","2018","1:30pm","Anfield",NA,NA,NA,"Liverpool","West Ham United",4,0,"19 45+2 53 88","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,64.8,35.2,1,2,"21","55 52",0,0,NA,NA,14,9,"7","14",18,5,8,2,7,2,3,1,5,4,5,3,0,NA,0,NA,4,0,0,0,0,3,0,23,23,10,9,4,9,8,"victory","Liverpool","West Ham United",1,0
"6","2018/2019","premier league",1,"Saturday","11","August","2018","12:30pm","St James' Park, Newcastle",NA,NA,NA,"Newcastle United","Tottenham Hotspur",1,2,"11","8 18",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,40.4,59.6,2,2,"90+4 58","42 68",0,0,NA,NA,11,12,"12","10",15,15,2,5,8,7,5,3,3,5,1,0,0,NA,0,NA,3,0,0,0,0,4,0,23,30,7,15,8,8,1,"victory","Tottenham Hotspur","Newcastle United",0,1
"7","2018/2019","premier league",1,"Saturday","11","August","2018","3:00pm","Craven Cottage",NA,NA,NA,"Fulham","Crystal Palace",0,2,"NA","41 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,66.3,33.7,1,2,"34","74 40",0,0,NA,NA,9,11,"11","9",15,12,6,10,4,0,5,2,5,5,2,3,0,NA,0,NA,2,0,0,0,0,3,0,20,27,16,4,7,10,5,"victory","Crystal Palace","Fulham",0,1
"8","2018/2019","premier league",1,"Saturday","11","August","2018","3:00pm","Vicarage Road",NA,NA,NA,"Watford","Brighton and Hove Albion",2,0,"35 54","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,53.2,46.8,2,1,"73 64","18",0,0,NA,NA,10,16,"15","10",19,6,5,0,9,5,5,1,8,2,0,3,0,NA,0,NA,2,0,0,0,0,3,0,26,25,5,14,6,10,3,"victory","Watford","Brighton and Hove Albion",1,0
"9","2018/2019","premier league",1,"Sunday","12","August","2018","1:30pm","St. Mary's Stadium",NA,NA,NA,"Southampton","Burnley",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47.7,52.3,0,1,NA,"15",0,0,NA,NA,10,9,"8","10",18,16,3,6,6,6,9,4,8,5,2,5,0,NA,0,NA,0,0,0,0,0,1,0,19,34,9,12,13,13,7,"draw",NA,NA,NA,NA
"10","2018/2019","premier league",1,"Sunday","12","August","2018","4:00pm","Emirates Stadium",NA,NA,NA,"Arsenal","Manchester City",0,2,"NA","14 64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,42,58,2,2,"27 52","4 73",0,0,NA,NA,11,14,"13","11",9,17,3,8,4,5,2,4,2,10,7,2,0,NA,0,NA,2,0,0,0,0,4,0,25,26,11,9,6,12,9,"victory","Manchester City","Arsenal",0,1
"11","2018/2019","premier league",2,"Saturday","18","August","2018","12:30pm","Cardiff City Stadium",NA,NA,NA,"Cardiff City","Newcastle United",0,0,"NA","NA",0,1,NA,"90+6",0,0,NA,NA,0,1,NA,"90+6",NA,NA,NA,NA,51.3,48.7,2,2,"62 80","30 3",0,1,"66",NA,14,16,"16","13",12,12,1,6,6,1,5,5,5,5,2,0,0,NA,0,NA,0,1,0,1,0,4,1,30,24,7,7,10,10,2,"draw",NA,NA,NA,NA
