"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"143","2015/2016","bundesliga",16,"Saturday","12","December","2015","2:30pm","Merck-Stadion am Bollenfalltor",NA,NA,NA,"SV Darmstadt 98","Hertha Berlin",0,4,"NA","12 50 26 77",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,34.7,65.3,4,1,"38 39 76 58","38",0,0,NA,NA,18,11,"9","16",10,9,3,5,5,3,2,1,4,3,3,2,0,NA,0,NA,4,0,0,0,0,5,0,29,19,8,8,3,7,5,"victory","Hertha Berlin","SV Darmstadt 98",0,1
"144","2015/2016","bundesliga",16,"Sunday","13","December","2015","2:30pm","SGL Arena",NA,NA,NA,"FC Augsburg","Schalke",2,1,"34 90+2","70",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,41.8,58.2,2,1,"3 27","32",0,0,NA,NA,17,12,"12","17",22,15,6,5,10,8,6,2,6,5,1,2,0,NA,0,NA,3,0,0,0,0,3,0,29,37,11,18,8,11,3,"victory","FC Augsburg","Schalke",1,0
"145","2015/2016","bundesliga",17,"Friday","18","December","2015","7:30pm","Veltins Arena",NA,NA,NA,"Schalke","Hoffenheim",1,0,"28","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,48.9,51.1,1,2,"90+1","58 57",0,0,NA,NA,14,11,"11","14",16,18,3,1,8,11,5,6,3,1,3,2,0,NA,0,NA,1,0,0,0,0,3,0,25,34,4,19,11,4,5,"victory","Schalke","Hoffenheim",1,0
"146","2015/2016","bundesliga",17,"Saturday","19","December","2015","2:30pm","Commerzbank Arena",NA,NA,NA,"Eintracht Frankfurt","Werder Bremen",2,1,"31 48","29",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.4,47.6,3,5,"79 42 10","78 86 14 87 79",0,0,NA,NA,14,20,"18","13",16,11,6,4,8,3,2,4,6,3,6,6,0,NA,0,NA,3,0,0,0,0,8,0,34,27,10,11,6,9,12,"victory","Eintracht Frankfurt","Werder Bremen",1,0
"147","2015/2016","bundesliga",17,"Saturday","19","December","2015","2:30pm","HDI-Arena",NA,NA,NA,"Hannover 96","Bayern Munich",0,1,"NA","40",0,1,NA,"40",0,1,NA,"40",0,0,NA,NA,NA,NA,NA,NA,20.8,79.2,0,0,NA,NA,0,0,NA,NA,10,10,"8","8",6,20,1,11,3,6,2,3,5,5,4,1,0,NA,0,NA,1,1,1,0,0,0,0,20,26,12,9,5,10,5,"victory","Bayern Munich","Hannover 96",0,1
"148","2015/2016","bundesliga",17,"Saturday","19","December","2015","5:30pm","Mercedes-Benz Arena",NA,NA,NA,"Stuttgart","Wolfsburg",3,1,"22 47 31","14",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,24.9,75.1,2,1,"56 76","68",1,0,NA,NA,7,10,"10","7",9,17,6,7,2,8,1,2,1,3,4,3,0,NA,0,NA,4,0,0,0,0,3,1,17,26,13,10,3,4,7,"victory","Stuttgart","Wolfsburg",1,0
"149","2015/2016","bundesliga",17,"Sunday","20","December","2015","4:30pm","Borussia-Park",NA,NA,NA,"M'gladbach","SV Darmstadt 98",3,2,"44 51 86","28 67",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.9,41.1,1,4,"45+1","45+2 60 38 65",1,0,NA,NA,12,20,"18","12",13,15,5,6,2,8,6,1,1,5,2,2,0,NA,0,NA,5,0,0,0,0,5,1,32,28,11,10,7,6,4,"victory","M'gladbach","SV Darmstadt 98",1,0
"150","2015/2016","bundesliga",17,"Saturday","19","December","2015","2:30pm","Imtech Arena",NA,NA,NA,"Hamburg","FC Augsburg",0,1,"NA","76",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.2,43.8,0,2,NA,"52 56",0,0,NA,NA,13,14,"14","13",14,17,2,7,6,8,6,2,4,6,3,1,0,NA,0,NA,1,0,0,0,0,2,0,27,31,9,14,8,10,4,"victory","FC Augsburg","Hamburg",0,1
"151","2015/2016","bundesliga",17,"Saturday","19","December","2015","2:30pm","RheinEnergieStadion",NA,NA,NA,"Cologne","Borussia Dortmund",2,1,"82 90","18",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,31.1,68.9,3,1,"72 83 90+1","67",0,0,NA,NA,10,15,"15","10",14,14,6,3,5,7,3,4,6,6,4,0,0,NA,0,NA,3,0,0,0,0,4,0,25,28,9,12,7,12,4,"victory","Cologne","Borussia Dortmund",1,0
"152","2015/2016","bundesliga",17,"Saturday","19","December","2015","2:30pm","Audi Sportpark",NA,NA,NA,"FC Ingolstadt 04","Bayer Leverkusen",0,1,"NA","73",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.3,48.7,2,3,"76 73","45 90+3 74",0,0,NA,NA,12,18,"17","12",11,9,3,2,6,6,2,1,6,3,2,3,0,NA,0,NA,1,0,0,0,0,5,0,30,20,5,12,3,9,5,"victory","Bayer Leverkusen","FC Ingolstadt 04",0,1
"153","2015/2016","bundesliga",17,"Sunday","20","December","2015","2:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","Mainz",2,0,"34 54","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,60.5,39.5,0,0,NA,NA,0,0,NA,NA,14,12,"11","14",7,5,5,0,2,3,0,2,6,2,2,1,0,NA,0,NA,2,0,0,0,0,0,0,26,12,5,5,2,8,3,"victory","Hertha Berlin","Mainz",1,0
"154","2015/2016","bundesliga",18,"Friday","22","January","2016","7:30pm","Imtech Arena",NA,NA,NA,"Hamburg","Bayern Munich",1,2,"53","37 61",0,1,NA,"37",0,1,NA,"37",0,0,NA,NA,NA,NA,NA,NA,29.8,70.2,4,2,"36 20 32 42","45 82",0,0,NA,NA,21,11,"11","21",7,20,1,5,4,13,2,2,2,7,3,1,0,NA,1,"53",3,1,1,0,1,6,0,32,27,6,17,4,9,4,"victory","Bayern Munich","Hamburg",0,1
"155","2015/2016","bundesliga",18,"Saturday","23","January","2016","2:30pm","HDI-Arena",NA,NA,NA,"Hannover 96","SV Darmstadt 98",1,2,"10","31 47",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,69.5,30.5,2,5,"81 44","84 22 42 77 25",0,0,NA,NA,13,21,"21","13",13,13,5,5,7,6,1,2,6,4,3,1,0,NA,0,NA,3,0,0,0,0,7,0,34,26,10,13,3,10,4,"victory","SV Darmstadt 98","Hannover 96",0,1
"156","2015/2016","bundesliga",18,"Saturday","23","January","2016","2:30pm","RheinEnergieStadion",NA,NA,NA,"Cologne","Stuttgart",1,3,"19","36 51 83",1,0,"19",NA,1,0,"19",NA,0,0,NA,NA,NA,NA,NA,NA,54,46,0,1,NA,"18",0,0,NA,NA,9,13,"12","8",15,16,4,8,8,4,3,4,8,5,2,4,0,NA,0,NA,4,1,1,0,0,1,0,22,31,12,12,7,13,6,"victory","Stuttgart","Cologne",0,1
"157","2015/2016","bundesliga",18,"Saturday","23","January","2016","5:30pm","Borussia-Park",NA,NA,NA,"M'gladbach","Borussia Dortmund",1,3,"58","41 50 75",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.7,48.3,1,1,"67","74",0,0,NA,NA,12,10,"10","11",10,12,3,4,5,7,2,1,3,1,3,4,0,NA,0,NA,4,0,0,0,0,2,0,22,22,7,12,3,4,7,"victory","Borussia Dortmund","M'gladbach",0,1
"158","2015/2016","bundesliga",18,"Sunday","24","January","2016","4:30pm","Veltins Arena",NA,NA,NA,"Schalke","Werder Bremen",1,3,"4","43 53 89",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61.9,38.1,1,3,"77","35 80 57",0,0,NA,NA,14,13,"13","14",20,17,4,6,11,6,5,5,13,1,2,0,0,NA,0,NA,4,0,0,0,0,4,0,27,37,10,17,10,14,2,"victory","Werder Bremen","Schalke",0,1
"159","2015/2016","bundesliga",18,"Saturday","23","January","2016","2:30pm","Audi Sportpark",NA,NA,NA,"FC Ingolstadt 04","Mainz",1,0,"41","NA",1,0,"41",NA,1,0,"41",NA,0,0,NA,NA,NA,NA,NA,NA,37,63,2,2,"52 60","79 88",0,0,NA,NA,21,17,"16","20",9,7,4,4,2,2,3,1,3,1,2,6,0,NA,0,NA,1,1,1,0,0,4,0,38,16,8,4,4,4,8,"victory","FC Ingolstadt 04","Mainz",1,0
"160","2015/2016","bundesliga",18,"Saturday","23","January","2016","2:30pm","Olympiastadion",NA,NA,NA,"Hertha Berlin","FC Augsburg",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,64.9,35.1,2,3,"45+1 25","75 42 45+1",0,0,NA,NA,15,19,"19","14",12,12,2,5,8,5,2,2,6,2,2,3,0,NA,0,NA,0,0,0,0,0,5,0,34,24,7,13,4,8,5,"draw",NA,NA,NA,NA
"161","2015/2016","bundesliga",18,"Saturday","23","January","2016","2:30pm","WIRSOL Rhein-Neckar-Arena",NA,NA,NA,"Hoffenheim","Bayer Leverkusen",1,1,"40","75",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,36.1,63.9,2,2,"17 73","58 86",0,0,NA,NA,16,15,"15","16",5,17,3,8,2,7,0,2,2,9,3,2,0,NA,0,NA,2,0,0,0,0,4,0,31,22,11,9,2,11,5,"draw",NA,NA,NA,NA
"162","2015/2016","bundesliga",18,"Sunday","24","January","2016","2:30pm","Commerzbank Arena",NA,NA,NA,"Eintracht Frankfurt","Wolfsburg",3,2,"66 73 90+3","25 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,41.6,58.4,2,0,"85 56",NA,0,0,NA,NA,14,20,"19","13",12,18,6,11,4,6,2,1,3,3,3,2,0,NA,0,NA,5,0,0,0,0,2,0,34,30,17,10,3,6,5,"victory","Eintracht Frankfurt","Wolfsburg",1,0
"163","2015/2016","bundesliga",19,"Friday","29","January","2016","7:30pm","Coface Arena",NA,NA,NA,"Mainz","M'gladbach",1,0,"21","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,37,63,0,2,NA,"80 63",0,0,NA,NA,13,11,"11","12",13,12,2,7,10,4,1,1,8,4,1,2,0,NA,0,NA,1,0,0,0,0,2,0,24,25,9,14,2,12,3,"victory","Mainz","M'gladbach",1,0
"164","2015/2016","bundesliga",19,"Saturday","30","January","2016","2:30pm","SGL Arena",NA,NA,NA,"FC Augsburg","Eintracht Frankfurt",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,49,51,2,2,"47 42","79 62",0,0,NA,NA,18,9,"8","16",7,12,2,5,2,2,3,5,4,2,2,2,0,NA,0,NA,0,0,0,0,0,4,0,27,19,7,4,8,6,4,"draw",NA,NA,NA,NA
"165","2015/2016","bundesliga",19,"Saturday","30","January","2016","2:30pm","Weserstadion",NA,NA,NA,"Werder Bremen","Hertha Berlin",3,3,"67 75 77","29 41 71",1,0,"75",NA,1,0,"75",NA,0,0,NA,NA,NA,NA,NA,NA,51,49,3,3,"53 40 48","68 46 9",0,0,NA,NA,19,16,"15","19",16,12,6,4,5,4,5,4,6,6,1,1,0,NA,0,NA,6,1,1,0,0,6,0,35,28,10,9,9,12,2,"draw",NA,NA,NA,NA
"166","2015/2016","bundesliga",19,"Saturday","30","January","2016","5:30pm","Mercedes-Benz Arena",NA,NA,NA,"Stuttgart","Hamburg",2,1,"66 88","75",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,45.7,54.3,1,3,"20","79 90+4 84",0,0,NA,NA,12,14,"14","12",24,12,11,5,8,5,5,2,10,4,3,5,0,NA,1,"66",3,0,0,0,1,4,0,26,36,16,13,7,14,8,"victory","Stuttgart","Hamburg",1,0
