"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2012/2013","bundesliga",1,"Friday","24","August","2012","7:30pm","Signal Iduna Park",NA,NA,NA,"Borussia Dortmund","Werder Bremen",2,1,"11 82","75",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.8,47.2,2,2,"62 21","29 59",0,0,NA,NA,18,14,"13","18",15,9,6,3,9,6,0,0,7,2,2,2,0,NA,0,NA,3,0,0,0,0,4,0,32,24,9,15,0,9,4,"victory","Borussia Dortmund","Werder Bremen",1,0
"2","2012/2013","bundesliga",1,"Saturday","25","August","2012","2:30pm","Dreisamstadion",NA,NA,NA,"SC Freiburg","Mainz",1,1,"49","65",0,1,NA,"65",0,1,NA,"65",0,0,NA,NA,NA,NA,NA,NA,50.1,49.9,0,2,NA,"89 86",0,0,NA,NA,14,13,"11","14",8,7,4,3,4,4,0,0,9,8,4,6,0,NA,0,NA,2,1,1,0,0,2,0,27,15,7,8,0,17,10,"draw",NA,NA,NA,NA
"3","2012/2013","bundesliga",1,"Saturday","25","August","2012","2:30pm","AOL-Arena",NA,NA,NA,"Hamburg","FC Nurnberg",0,1,"NA","68",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51.9,48.1,4,2,"30 80 82 73","71 75",0,0,NA,NA,16,20,"19","15",9,15,5,8,4,7,0,0,9,6,3,0,0,NA,0,NA,1,0,0,0,0,6,0,36,24,13,11,0,15,3,"victory","FC Nurnberg","Hamburg",0,1
"4","2012/2013","bundesliga",1,"Saturday","25","August","2012","5:30pm","Commerzbank Arena",NA,NA,NA,"Eintracht Frankfurt","Bayer Leverkusen",2,1,"57 82","29",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,55.1,44.9,1,2,"34","42 88",0,0,NA,NA,15,23,"22","15",15,18,4,10,11,8,0,0,6,7,1,6,0,NA,0,NA,3,0,0,0,0,3,0,38,33,14,19,0,13,7,"victory","Eintracht Frankfurt","Bayer Leverkusen",1,0
"5","2012/2013","bundesliga",1,"Sunday","26","August","2012","4:30pm","AWD-Arena",NA,NA,NA,"Hannover 96","Schalke",2,2,"43 80","52 64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,41.2,58.8,1,3,"23","29 55 54",0,0,NA,NA,12,17,"17","12",9,15,2,7,7,8,0,0,3,6,0,1,0,NA,0,NA,4,0,0,0,0,4,0,29,24,9,15,0,9,1,"draw",NA,NA,NA,NA
"6","2012/2013","bundesliga",1,"Saturday","25","August","2012","2:30pm","Borussia-Park",NA,NA,NA,"M'gladbach","Hoffenheim",2,1,"33 79","66",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,54.9,45.1,2,0,"22 88",NA,0,0,NA,NA,9,6,"5","9",6,13,3,8,3,5,0,0,6,4,4,7,0,NA,0,NA,3,0,0,0,0,2,0,15,19,11,8,0,10,11,"victory","M'gladbach","Hoffenheim",1,0
"7","2012/2013","bundesliga",1,"Saturday","25","August","2012","2:30pm","Impuls Arena",NA,NA,NA,"FC Augsburg","Fortuna Dusseldorf",0,2,"NA","68 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"41 5 63","13 79",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,2,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,"victory","Fortuna Dusseldorf","FC Augsburg",0,1
"8","2012/2013","bundesliga",1,"Saturday","25","August","2012","2:30pm",NA,NA,NA,NA,"Greuther Furth","Bayern Munich",0,3,"NA","43 59 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,28.4,71.6,2,2,"53 9","89 68",0,0,NA,NA,21,12,"12","20",6,14,1,8,5,6,0,0,2,4,2,1,1,"79",0,NA,3,0,0,0,1,4,0,33,20,9,11,0,6,3,"victory","Bayern Munich","Greuther Furth",0,1
"9","2012/2013","bundesliga",1,"Saturday","25","August","2012","7:45pm","Mercedes-Benz Arena",NA,NA,NA,"Stuttgart","Wolfsburg",0,1,"NA","90",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,60.5,39.5,1,0,"40",NA,0,0,NA,NA,16,23,"23","15",9,12,5,3,4,9,0,0,7,6,8,1,0,NA,0,NA,1,0,0,0,0,1,0,39,21,8,13,0,13,9,"victory","Wolfsburg","Stuttgart",0,1
"10","2012/2013","bundesliga",2,"Friday","31","August","2012","7:30pm",NA,NA,NA,NA,"Mainz","Greuther Furth",0,1,"NA","66",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,68.9,31.1,1,4,"22","34 25 20 90+2",0,0,NA,NA,17,23,"23","17",11,5,3,2,8,3,0,0,8,0,1,3,0,NA,0,NA,1,0,0,0,0,5,0,40,16,5,11,0,8,4,"victory","Greuther Furth","Mainz",0,1
"11","2012/2013","bundesliga",2,"Saturday","1","September","2012","2:30pm","BayArena Staduim",NA,NA,NA,"Bayer Leverkusen","SC Freiburg",2,0,"8 54","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.9,53.1,1,1,"77","79",0,0,NA,NA,20,24,"24","20",12,6,10,1,2,5,0,0,5,4,5,4,0,NA,0,NA,2,0,0,0,0,2,0,44,18,11,7,0,9,9,"victory","Bayer Leverkusen","SC Freiburg",1,0
"12","2012/2013","bundesliga",2,"Saturday","1","September","2012","2:30pm","easyCredit Stadion",NA,NA,NA,"FC Nurnberg","Borussia Dortmund",1,1,"31","40",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35.6,64.4,2,2,"65 70","71 90+1",0,0,NA,NA,12,17,"17","12",6,16,3,6,3,10,0,0,4,11,2,2,0,NA,0,NA,2,0,0,0,0,4,0,29,22,9,13,0,15,4,"draw",NA,NA,NA,NA
"13","2012/2013","bundesliga",2,"Saturday","1","September","2012","5:30pm",NA,NA,NA,NA,"Fortuna Dusseldorf","M'gladbach",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"26 45 87","86 58",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
"14","2012/2013","bundesliga",2,"Sunday","2","September","2012","4:30pm","Allianz Arena",NA,NA,NA,"Bayern Munich","Stuttgart",6,1,"32 49 33 43 47 51","25",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61.2,38.8,1,1,"74","20",0,1,"74",NA,13,8,"8","13",15,4,13,4,2,0,0,0,5,3,2,3,0,NA,0,NA,7,0,0,0,0,2,1,21,19,17,2,0,8,5,"victory","Bayern Munich","Stuttgart",1,0
"15","2012/2013","bundesliga",2,"Saturday","1","September","2012","2:30pm","Veltins Arena.",NA,NA,NA,"Schalke","FC Augsburg",3,1,"33 46 72","79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.2,43.8,1,2,"35","62 42",0,0,NA,NA,11,14,"14","11",12,13,6,4,6,9,0,0,6,5,2,4,0,NA,0,NA,4,0,0,0,0,3,0,25,25,10,15,0,11,6,"victory","Schalke","FC Augsburg",1,0
"16","2012/2013","bundesliga",2,"Saturday","1","September","2012","2:30pm","Weserstadion",NA,NA,NA,"Werder Bremen","Hamburg",2,0,"52 67","NA",1,0,"52",NA,1,0,"52",NA,0,0,NA,NA,NA,NA,NA,NA,53.8,46.2,0,1,NA,"80",0,0,NA,NA,7,20,"17","7",15,11,8,4,7,7,0,0,7,5,2,3,0,NA,0,NA,2,1,1,0,0,1,0,27,26,12,14,0,12,5,"victory","Werder Bremen","Hamburg",1,0
"17","2012/2013","bundesliga",2,"Saturday","1","September","2012","2:30pm","Rhein-Neckar Arena",NA,NA,NA,"Hoffenheim","Eintracht Frankfurt",0,4,"NA","39 82 43 90",0,1,NA,"82",0,1,NA,"82",0,0,NA,NA,NA,NA,NA,NA,32.7,67.3,3,2,"30 56 69","4 73",2,0,NA,NA,16,17,"16","16",5,14,3,5,2,9,0,0,2,5,5,7,0,NA,0,NA,4,1,1,0,0,5,2,33,19,8,11,0,7,12,"victory","Eintracht Frankfurt","Hoffenheim",0,1
