"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2016/2017","premier league",1,"Saturday","13","August","2016","12:30pm","KCOM Stadium",NA,NA,NA,"Hull City","Leicester City",2,1,"45+1 57","47",0,1,NA,"47",0,1,NA,"47",0,0,NA,NA,NA,NA,NA,NA,49.7,50.3,2,2,"71 83","33 29",0,0,NA,NA,8,17,"17","8",14,18,5,5,7,9,2,4,5,3,1,0,0,NA,0,NA,3,1,1,0,0,4,0,25,32,10,16,6,8,1,"victory","Hull City","Leicester City",1,0
"2","2016/2017","premier league",1,"Saturday","13","August","2016","3:00pm","Selhurst Park",NA,NA,NA,"Crystal Palace","West Bromwich Albion",0,1,"NA","74",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,62.3,37.7,2,2,"84 87","35 84",0,0,NA,NA,12,15,"14","12",14,13,4,3,7,8,3,2,3,6,0,2,0,NA,0,NA,1,0,0,0,0,4,0,27,27,7,15,5,9,2,"victory","West Bromwich Albion","Crystal Palace",0,1
"3","2016/2017","premier league",1,"Saturday","13","August","2016","3:00pm","Riverside Stadium",NA,NA,NA,"Middlesbrough","Stoke City",1,1,"11","67",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,45.6,54.4,3,5,"30 29 90+1","30 48 22 84 90+4",0,0,NA,NA,18,14,"14","18",12,12,2,1,6,9,4,2,9,6,1,2,0,NA,0,NA,2,0,0,0,0,8,0,32,24,3,15,6,15,3,"draw",NA,NA,NA,NA
"4","2016/2017","premier league",1,"Saturday","13","August","2016","5:30pm","Etihad Stadium",NA,NA,NA,"Manchester City","Sunderland",2,1,"4 87","71",1,0,"4",NA,1,0,"4",NA,0,0,NA,NA,NA,NA,NA,NA,76.9,23.1,1,2,"90+1","67 42",0,0,NA,NA,11,14,"13","11",16,7,4,3,8,2,4,2,9,6,1,2,0,NA,1,"87",3,1,1,0,1,3,0,25,23,7,10,6,15,3,"victory","Manchester City","Sunderland",1,0
"5","2016/2017","premier league",1,"Sunday","14","August","2016","4:00pm","Emirates Stadium",NA,NA,NA,"Arsenal","Liverpool",3,4,"31 64 75","45+1 56 49 63",1,0,"30",NA,0,0,NA,NA,1,0,"30",NA,NA,NA,NA,NA,50.7,49.3,3,3,"37 57 86","41 29 26",0,0,NA,NA,13,17,"16","13",9,16,5,7,3,3,1,6,5,4,4,3,0,NA,0,NA,7,1,0,1,0,6,0,30,25,12,6,7,9,7,"victory","Liverpool","Arsenal",0,1
"6","2016/2017","premier league",1,"Saturday","13","August","2016","3:00pm","Turf Moor",NA,NA,NA,"Burnley","Swansea City",0,1,"NA","82",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47.5,52.5,3,2,"80 67 42","90 53",0,0,NA,NA,10,14,"14","10",10,17,3,9,5,6,2,2,7,4,3,2,0,NA,0,NA,1,0,0,0,0,5,0,24,27,12,11,4,11,5,"victory","Swansea City","Burnley",0,1
"7","2016/2017","premier league",1,"Saturday","13","August","2016","3:00pm","Goodison Park",NA,NA,NA,"Everton","Tottenham Hotspur",1,1,"5","59",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,42.5,57.5,0,0,NA,NA,0,0,NA,NA,10,14,"14","10",12,13,6,4,4,4,2,5,5,6,5,0,0,NA,0,NA,2,0,0,0,0,0,0,24,25,10,8,7,11,5,"draw",NA,NA,NA,NA
"8","2016/2017","premier league",1,"Saturday","13","August","2016","3:00pm","St. Mary's Stadium",NA,NA,NA,"Southampton","Watford",1,1,"58","9",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,64.3,35.7,1,2,"90+4","87 60",0,1,"76",NA,8,12,"11","8",24,5,6,1,10,4,8,0,6,2,1,0,0,NA,0,NA,2,0,0,0,0,3,1,20,29,7,14,8,8,1,"draw",NA,NA,NA,NA
"9","2016/2017","premier league",1,"Sunday","14","August","2016","1:30pm","Vitality Stadium",NA,NA,NA,"Bournemouth","Manchester United",1,3,"69","40 59 64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47.4,52.6,0,1,NA,"86",0,0,NA,NA,7,10,"10","7",9,11,3,7,2,2,4,2,4,2,3,4,0,NA,0,NA,4,0,0,0,0,1,0,17,20,10,4,6,6,7,"victory","Manchester United","Bournemouth",0,1
"10","2016/2017","premier league",1,"Monday","15","August","2016","8:00pm","Stamford Bridge",NA,NA,NA,"Chelsea","West Ham United",2,1,"47 89","77",1,0,"47",NA,1,0,"47",NA,0,0,NA,NA,NA,NA,NA,NA,61.7,38.3,5,2,"75 3 90+2 19 90+3","46 21",0,0,NA,NA,16,16,"14","16",16,7,6,3,6,2,4,2,7,1,1,1,0,NA,0,NA,3,1,1,0,0,7,0,32,23,9,8,6,8,2,"victory","Chelsea","West Ham United",1,0
"11","2016/2017","premier league",2,"Friday","19","August","2016","8:00pm","Old Trafford",NA,NA,NA,"Manchester United","Southampton",2,0,"36 52","NA",1,0,"52",NA,1,0,"52",NA,0,0,NA,NA,NA,NA,NA,NA,43.4,56.6,0,0,NA,NA,0,0,NA,NA,11,8,"8","10",12,13,5,1,6,9,1,3,4,0,2,2,0,NA,0,NA,2,1,1,0,0,0,0,19,25,6,15,4,4,4,"victory","Manchester United","Southampton",1,0
"12","2016/2017","premier league",2,"Saturday","20","August","2016","3:00pm","Turf Moor",NA,NA,NA,"Burnley","Liverpool",2,0,"2 37","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,19.6,80.4,0,1,NA,"65",0,0,NA,NA,14,5,"5","13",3,26,2,5,1,13,0,8,1,12,3,0,0,NA,0,NA,2,0,0,0,0,1,0,19,29,7,14,8,13,3,"victory","Burnley","Liverpool",1,0
"13","2016/2017","premier league",2,"Saturday","20","August","2016","3:00pm","White Hart Lane",NA,NA,NA,"Tottenham Hotspur","Crystal Palace",1,0,"82","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.9,43.1,3,3,"60 68 77","66 88 26",0,0,NA,NA,19,9,"9","19",20,10,5,2,9,6,6,2,11,3,2,0,0,NA,0,NA,1,0,0,0,0,6,0,28,30,7,15,8,14,2,"victory","Tottenham Hotspur","Crystal Palace",1,0
"14","2016/2017","premier league",2,"Saturday","20","August","2016","3:00pm","The Hawthorns",NA,NA,NA,"West Bromwich Albion","Everton",1,2,"9","45+2 60",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,33.6,66.4,3,1,"59 90+3 26","90+1",0,0,NA,NA,16,10,"9","15",11,13,4,7,5,5,2,1,7,4,0,1,0,NA,0,NA,3,0,0,0,0,4,0,26,24,11,10,3,11,1,"victory","Everton","West Bromwich Albion",0,1
"15","2016/2017","premier league",2,"Sunday","21","August","2016","1:30pm","Stadium of Light",NA,NA,NA,"Sunderland","Middlesbrough",1,2,"71","13 45",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.9,53.1,1,1,"81","26",0,0,NA,NA,11,14,"14","11",18,8,5,3,6,2,7,3,8,1,2,0,0,NA,0,NA,3,0,0,0,0,2,0,25,26,8,8,10,9,2,"victory","Middlesbrough","Sunderland",0,1
"16","2016/2017","premier league",2,"Saturday","20","August","2016","12:30pm","Bet365 Stadium",NA,NA,NA,"Stoke City","Manchester City",1,4,"49","27 36 86 90+5",1,1,"49","27",1,1,"49","27",0,0,NA,NA,NA,NA,NA,NA,42.5,57.5,3,4,"26 71 45","48 90+3 66 49",0,0,NA,NA,12,13,"13","12",8,12,3,6,3,2,2,4,7,7,3,1,0,NA,0,NA,5,2,2,0,0,7,0,25,20,9,5,6,14,4,"victory","Manchester City","Stoke City",0,1
"17","2016/2017","premier league",2,"Saturday","20","August","2016","3:00pm","The Liberty Stadium",NA,NA,NA,"Swansea City","Hull City",0,2,"NA","79 90+2",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56.6,43.4,0,0,NA,NA,0,0,NA,NA,7,10,"10","7",23,12,3,4,13,3,7,5,8,3,0,5,0,NA,0,NA,2,0,0,0,0,0,0,17,35,7,16,12,11,5,"victory","Hull City","Swansea City",0,1
"18","2016/2017","premier league",2,"Saturday","20","August","2016","3:00pm","Vicarage Road",NA,NA,NA,"Watford","Chelsea",1,2,"55","80 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,37.6,62.4,4,3,"69 90+4 70 19","20 90+2 56",0,0,NA,NA,20,10,"9","19",6,13,2,4,2,6,2,3,0,5,1,2,0,NA,0,NA,3,0,0,0,0,7,0,30,19,6,8,5,5,3,"victory","Chelsea","Watford",0,1
"19","2016/2017","premier league",2,"Saturday","20","August","2016","5:30pm","The King Power Stadium",NA,NA,NA,"Leicester City","Arsenal",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,39.5,60.5,1,2,"45","90+2 24",0,0,NA,NA,11,7,"6","11",8,13,1,4,2,4,5,5,2,7,1,2,0,NA,0,NA,0,0,0,0,0,3,0,18,21,5,6,10,9,3,"draw",NA,NA,NA,NA
"20","2016/2017","premier league",2,"Sunday","21","August","2016","4:00pm","London Stadium",NA,NA,NA,"West Ham United","Bournemouth",1,0,"85","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.8,53.2,3,2,"38 45+2 90","37 33",0,1,"77",NA,15,15,"13","15",16,8,2,5,9,1,5,2,1,6,1,1,0,NA,0,NA,1,0,0,0,0,5,1,30,24,7,10,7,7,2,"victory","West Ham United","Bournemouth",1,0
"21","2016/2017","premier league",3,"Saturday","27","August","2016","12:30pm","White Hart Lane",NA,NA,NA,"Tottenham Hotspur","Liverpool",1,1,"72","43",0,1,NA,"43",0,1,NA,"43",0,0,NA,NA,NA,NA,NA,NA,49.3,50.7,3,5,"51 29 77","90+4 63 85 32 45+1",0,0,NA,NA,11,17,"17","11",11,13,4,3,5,4,2,6,5,5,2,6,0,NA,0,NA,2,1,1,0,0,8,0,28,24,7,9,8,10,8,"draw",NA,NA,NA,NA
"22","2016/2017","premier league",3,"Saturday","27","August","2016","3:00pm","Selhurst Park",NA,NA,NA,"Crystal Palace","Bournemouth",1,1,"90+3","11",1,0,"16",NA,0,0,NA,NA,1,0,"16",NA,NA,NA,NA,NA,59.4,40.6,2,1,"45 16","56",0,0,NA,NA,15,10,"9","14",24,10,5,3,12,4,7,3,10,4,5,2,0,NA,0,NA,2,1,0,1,0,3,0,25,34,8,16,10,14,7,"draw",NA,NA,NA,NA
