"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"245","2012/2013","premier league",25,"Sunday","3","February","2013","1:30pm","The Hawthorns",NA,NA,NA,"West Bromwich Albion","Tottenham Hotspur",0,1,"NA","67",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,30.3,69.7,1,0,"69",NA,1,0,NA,NA,10,8,"8","9",5,14,3,7,2,7,0,0,2,17,6,2,0,NA,0,NA,1,0,0,0,0,1,1,18,19,10,9,0,19,8,"victory","Tottenham Hotspur","West Bromwich Albion",0,1
"246","2012/2013","premier league",25,"Saturday","2","February","2013","3:00pm","Emirates Stadium",NA,NA,NA,"Arsenal","Stoke City",1,0,"78","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,65.4,34.6,0,3,NA,"89 77 70",0,0,NA,NA,3,13,"13","3",13,5,5,1,8,4,0,0,11,1,2,2,0,NA,0,NA,1,0,0,0,0,3,0,16,18,6,12,0,12,4,"victory","Arsenal","Stoke City",1,0
"247","2012/2013","premier league",25,"Saturday","2","February","2013","3:00pm","St James' Park, Newcastle",NA,NA,NA,"Newcastle United","Chelsea",3,2,"41 68 90","55 61",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,45.8,54.2,2,3,"45+4 62","62 30 90+3",0,0,NA,NA,11,5,"5","10",17,12,11,5,6,7,0,0,5,4,3,0,0,NA,0,NA,5,0,0,0,0,5,0,16,29,16,13,0,9,3,"victory","Newcastle United","Chelsea",1,0
"248","2012/2013","premier league",25,"Saturday","2","February","2013","3:00pm","Upton Park",NA,NA,NA,"West Ham United","Swansea City",1,0,"77","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35.9,64.1,1,1,"8","90+1",0,0,NA,NA,7,10,"10","7",14,7,7,3,7,4,0,0,5,3,2,4,0,NA,0,NA,1,0,0,0,0,2,0,17,21,10,11,0,8,6,"victory","West Ham United","Swansea City",1,0
"249","2012/2013","premier league",25,"Saturday","2","February","2013","5:30pm","Craven Cottage",NA,NA,NA,"Fulham","Manchester United",0,1,"NA","79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,44.8,55.2,1,1,"65","90+3",0,0,NA,NA,10,15,"15","8",12,12,6,7,6,5,0,0,5,8,2,7,0,NA,0,NA,1,0,0,0,0,2,0,25,24,13,11,0,13,9,"victory","Manchester United","Fulham",0,1
"250","2012/2013","premier league",25,"Sunday","3","February","2013","4:00pm","Etihad Stadium",NA,NA,NA,"Manchester City","Liverpool",2,2,"23 78","29 73",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,45.7,54.3,2,4,"71 30","57 81 36 53",0,0,NA,NA,16,9,"7","14",9,14,3,5,6,9,0,0,9,10,0,2,0,NA,0,NA,4,0,0,0,0,6,0,25,23,8,15,0,19,2,"draw",NA,NA,NA,NA
"251","2012/2013","premier league",26,"Saturday","9","February","2013","12:45pm","White Hart Lane",NA,NA,NA,"Tottenham Hotspur","Newcastle United",2,1,"5 78","24",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,54.3,45.7,0,2,NA,"90 90+6",0,0,NA,NA,6,11,"11","5",14,6,5,3,9,3,0,0,11,5,4,2,0,NA,0,NA,3,0,0,0,0,2,0,17,20,8,12,0,16,6,"victory","Tottenham Hotspur","Newcastle United",1,0
"252","2012/2013","premier league",26,"Saturday","9","February","2013","3:00pm","Carrow Road",NA,NA,NA,"Norwich City","Fulham",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,43.1,56.9,2,2,"58 37","87 36",0,0,NA,NA,10,16,"16","10",11,3,4,1,7,2,0,0,3,4,2,0,0,NA,0,NA,0,0,0,0,0,4,0,26,14,5,9,0,7,2,"draw",NA,NA,NA,NA
"253","2012/2013","premier league",26,"Saturday","9","February","2013","3:00pm","Stadium of Light",NA,NA,NA,"Sunderland","Arsenal",0,1,"NA","35",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,38.7,61.3,3,2,"2 76 64","84 9",0,1,"62",NA,6,13,"13","6",13,17,6,8,7,9,0,0,11,2,5,1,0,NA,0,NA,1,0,0,0,0,5,1,19,30,14,16,0,13,6,"victory","Arsenal","Sunderland",0,1
"254","2012/2013","premier league",26,"Saturday","9","February","2013","5:30pm","St. Mary's Stadium",NA,NA,NA,"Southampton","Manchester City",3,1,"7 22 48","39",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,44.3,55.7,1,2,"27","50 70",0,0,NA,NA,12,14,"12","11",11,5,4,4,7,1,0,0,6,6,6,3,0,NA,1,"48",4,0,0,0,1,3,0,26,16,8,8,0,12,9,"victory","Southampton","Manchester City",1,0
"255","2012/2013","premier league",26,"Sunday","10","February","2013","4:00pm","Old Trafford",NA,NA,NA,"Manchester United","Everton",2,0,"13 45+1","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47,53,0,2,NA,"38 85",0,0,NA,NA,13,11,"9","12",10,5,6,2,4,3,0,0,7,6,4,1,0,NA,0,NA,2,0,0,0,0,2,0,24,15,8,7,0,13,5,"victory","Manchester United","Everton",1,0
"256","2012/2013","premier league",26,"Saturday","9","February","2013","3:00pm","Stamford Bridge",NA,NA,NA,"Chelsea","Wigan Athletic",4,1,"23 56 86 90+2","58",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,53,47,1,2,"90+4","64 79",0,0,NA,NA,9,13,"13","8",20,9,12,6,8,3,0,0,10,6,2,3,0,NA,0,NA,5,0,0,0,0,3,0,22,29,18,11,0,16,5,"victory","Chelsea","Wigan Athletic",1,0
"257","2012/2013","premier league",26,"Saturday","9","February","2013","3:00pm","Bet365 Stadium",NA,NA,NA,"Stoke City","Reading",2,1,"67 81","83",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,58.1,41.9,2,0,"73 90+1",NA,0,0,NA,NA,10,5,"4","9",9,4,6,2,3,2,0,0,11,3,0,2,0,NA,0,NA,3,0,0,0,0,2,0,15,13,8,5,0,14,2,"victory","Stoke City","Reading",1,0
"258","2012/2013","premier league",26,"Saturday","9","February","2013","3:00pm","The Liberty Stadium",NA,NA,NA,"Swansea City","Queens Park Rangers",4,1,"8 67 18 50","48",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,62.5,37.5,1,3,"45+5","10 45+5 40",0,0,NA,NA,9,11,"11","9",11,10,9,4,2,6,0,0,5,2,3,0,0,NA,0,NA,5,0,0,0,0,4,0,20,21,13,8,0,7,3,"victory","Swansea City","Queens Park Rangers",1,0
"259","2012/2013","premier league",26,"Sunday","10","February","2013","1:30pm","Villa Park",NA,NA,NA,"Aston Villa","West Ham United",2,1,"74 78","87",1,0,"74",NA,1,0,"74",NA,0,0,NA,NA,NA,NA,NA,NA,48.2,51.8,3,2,"90+2 72 87","78 45",0,0,NA,NA,18,13,"12","16",8,10,3,4,5,6,0,0,4,10,5,3,1,"87",0,NA,3,1,1,0,1,5,0,31,18,7,11,0,14,8,"victory","Aston Villa","West Ham United",1,0
"260","2012/2013","premier league",26,"Monday","11","February","2013","8:00pm","Anfield",NA,NA,NA,"Liverpool","West Bromwich Albion",0,2,"NA","81 90",1,0,"76",NA,0,0,NA,NA,1,0,"76",NA,NA,NA,NA,NA,58.5,41.5,1,4,"90+4","42 69 72 73",0,0,NA,NA,10,11,"9","9",16,4,7,3,9,1,0,0,13,5,4,1,0,NA,0,NA,2,1,0,1,0,5,0,21,20,10,10,0,18,5,"victory","West Bromwich Albion","Liverpool",0,1
"261","2012/2013","premier league",27,"Sunday","17","February","2013","3:00pm","Anfield",NA,NA,NA,"Liverpool","Swansea City",5,0,"34 46 50 56 71","NA",2,0,"34 71",NA,2,0,"34 71",NA,0,0,NA,NA,NA,NA,NA,NA,54.3,45.7,0,1,NA,"76",0,0,NA,NA,7,9,"8","7",26,2,10,2,16,0,0,0,10,1,1,3,0,NA,0,NA,5,2,2,0,0,1,0,16,28,12,16,0,11,4,"victory","Liverpool","Swansea City",1,0
"262","2012/2013","premier league",27,"Saturday","23","February","2013","3:00pm","Emirates Stadium",NA,NA,NA,"Arsenal","Aston Villa",2,1,"6 85","68",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,63.9,36.1,1,2,"37","36 66",0,0,NA,NA,7,10,"10","7",18,6,7,3,11,3,0,0,12,3,3,3,0,NA,0,NA,3,0,0,0,0,3,0,17,24,10,14,0,15,6,"victory","Arsenal","Aston Villa",1,0
"263","2012/2013","premier league",27,"Saturday","23","February","2013","3:00pm","Kiyan Prince Foundation Stadium.",NA,NA,NA,"Queens Park Rangers","Manchester United",0,2,"NA","23 80",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,48.5,51.5,0,0,NA,NA,0,0,NA,NA,11,6,"6","11",9,10,3,6,6,4,0,0,2,4,1,2,0,NA,0,NA,2,0,0,0,0,0,0,17,19,9,10,0,6,3,"victory","Manchester United","Queens Park Rangers",0,1
"264","2012/2013","premier league",27,"Saturday","23","February","2013","3:00pm","The Hawthorns.",NA,NA,NA,"West Bromwich Albion","Sunderland",2,1,"35 75","79",1,0,"35",NA,1,0,"35",NA,0,0,NA,NA,NA,NA,NA,NA,58.9,41.1,2,1,"78 75","40",0,0,NA,NA,14,10,"9","14",15,10,6,5,9,5,0,0,5,5,0,3,0,NA,0,NA,3,1,1,0,0,3,0,24,25,11,14,0,10,3,"victory","West Bromwich Albion","Sunderland",1,0
"265","2012/2013","premier league",27,"Sunday","24","February","2013","1:30pm","St James' Park, Newcastle",NA,NA,NA,"Newcastle United","Southampton",4,2,"33 42 67 79","3 50",1,0,"67",NA,1,0,"67",NA,0,0,NA,NA,NA,NA,NA,NA,41.4,58.6,0,4,NA,"74 41 25 87",0,0,NA,NA,13,15,"11","13",10,8,4,3,6,5,0,0,7,3,5,3,0,NA,1,"79",6,1,1,0,1,4,0,28,18,7,11,0,10,8,"victory","Newcastle United","Southampton",1,0
"266","2012/2013","premier league",27,"Saturday","23","February","2013","12:45pm","Craven Cottage",NA,NA,NA,"Fulham","Stoke City",1,0,"45+2","NA",0,1,NA,"56",0,0,NA,NA,0,1,NA,"56",NA,NA,NA,NA,60.7,39.3,1,3,"11","75 35 23",0,0,NA,NA,7,10,"9","4",15,8,4,3,11,5,0,0,9,4,1,2,0,NA,0,NA,1,1,0,1,0,4,0,17,23,7,16,0,13,3,"victory","Fulham","Stoke City",1,0
"267","2012/2013","premier league",27,"Saturday","23","February","2013","3:00pm","Carrow Road",NA,NA,NA,"Norwich City","Everton",2,1,"84 90+4","39",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,44.8,55.2,1,1,"54","43",0,0,NA,NA,17,10,"10","16",6,13,5,3,1,10,0,0,7,5,2,2,0,NA,0,NA,3,0,0,0,0,2,0,27,19,8,11,0,12,4,"victory","Norwich City","Everton",1,0
"268","2012/2013","premier league",27,"Saturday","23","February","2013","3:00pm","The Madejski Stadium",NA,NA,NA,"Reading","Wigan Athletic",0,3,"NA","44 45+2 48",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,29.9,70.1,1,1,"35","63",1,0,NA,NA,9,11,"11","9",6,13,0,7,6,6,0,0,2,9,1,1,0,NA,0,NA,3,0,0,0,0,2,1,20,19,7,12,0,11,2,"victory","Wigan Athletic","Reading",0,1
"269","2012/2013","premier league",27,"Sunday","24","February","2013","1:30pm","Etihad Stadium",NA,NA,NA,"Manchester City","Chelsea",2,0,"63 85","NA",0,1,NA,"51",0,0,NA,NA,0,1,NA,"51",NA,NA,NA,NA,47,53,3,1,"43 40 29","37",0,0,NA,NA,20,5,"5","20",11,5,6,2,5,3,0,0,6,6,2,1,0,NA,0,NA,2,1,0,1,0,4,0,25,16,8,8,0,12,3,"victory","Manchester City","Chelsea",1,0
