"","season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"1","2019/2020","premier league",1,"Friday","9","August","2019","8:00pm","Anfield",NA,"Michael Oliver","Andre Marriner","Liverpool","Norwich City",4,1,"7 19 28 42","64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57.9,42.1,0,2,NA,"65 60",0,0,NA,NA,9,9,"9","9",15,12,7,5,5,5,3,2,11,2,0,5,0,NA,1,"7",5,0,0,0,1,2,0,18,27,12,10,5,13,5,"victory","Liverpool","Norwich City",1,0
"2","2019/2020","premier league",1,"Saturday","10","August","2019","3:00pm","Vitality Stadium",NA,"Kevin Friend","Lee Mason","Bournemouth","Sheffield United",1,1,"62","88",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52.9,47.1,2,1,"43 64","78",0,0,NA,NA,10,19,"17","9",13,8,3,3,7,4,3,1,3,4,1,1,0,NA,0,NA,2,0,0,0,0,3,0,29,21,6,11,4,7,2,"draw",NA,NA,NA,NA
"3","2019/2020","premier league",1,"Saturday","10","August","2019","3:00pm","Selhurst Park",NA,"Jonathan Moss","John Brooks","Crystal Palace","Everton",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,35.4,64.6,2,2,"55 38","54 52",0,1,"76",NA,16,14,"12","16",6,10,2,3,0,3,4,4,6,2,4,0,0,NA,0,NA,0,0,0,0,0,4,1,30,16,5,3,8,8,4,"draw",NA,NA,NA,NA
"4","2019/2020","premier league",1,"Saturday","10","August","2019","5:30pm","Tottenham Hotspur Stadium",NA,"Chris Kavanagh","Stuart Attwell","Tottenham Hotspur","Aston Villa",3,1,"73 86 90","9",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,70.1,29.9,1,0,"87",NA,0,0,NA,NA,13,9,"9","13",31,7,7,4,14,2,10,1,14,0,1,0,0,NA,0,NA,4,0,0,0,0,1,0,22,38,11,16,11,14,1,"victory","Tottenham Hotspur","Aston Villa",1,0
"5","2019/2020","premier league",1,"Sunday","11","August","2019","2:00pm","St James' Park, Newcastle",NA,"Martin Atkinson","David Coote","Newcastle United","Arsenal",0,1,"NA","58",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,38.1,61.9,1,3,"18","81 37 25",0,0,NA,NA,12,7,"7","11",9,8,2,2,4,4,3,2,5,3,1,3,0,NA,0,NA,1,0,0,0,0,4,0,19,17,4,8,5,8,4,"victory","Arsenal","Newcastle United",0,1
"6","2019/2020","premier league",1,"Saturday","10","August","2019","12:30pm","London Stadium",NA,"Mike Dean","David Coote","West Ham United","Manchester City",0,5,"NA","25 51 75 90+1 86",0,2,NA,"86 84",0,1,NA,"86",0,1,NA,"84",NA,NA,NA,NA,42.9,57.1,2,2,"61 62","87 90+3",0,0,NA,NA,6,13,"13","6",5,14,3,9,2,3,0,2,1,1,2,4,0,NA,0,NA,5,2,1,1,0,4,0,19,19,12,5,2,2,6,"victory","Manchester City","West Ham United",0,1
"7","2019/2020","premier league",1,"Saturday","10","August","2019","3:00pm","Turf Moor",NA,"Graham Scott","Peter Bankes","Burnley","Southampton",3,0,"63 70 75","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46.5,53.5,0,0,NA,NA,0,0,NA,NA,6,12,"11","6",10,11,4,3,4,5,2,3,2,7,5,1,0,NA,0,NA,3,0,0,0,0,0,0,18,21,7,9,5,9,6,"victory","Burnley","Southampton",1,0
"8","2019/2020","premier league",1,"Saturday","10","August","2019","3:00pm","Vicarage Road",NA,"Craig Pawson","Andy Madley","Watford","Brighton and Hove Albion",0,3,"NA","28 65 77",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,48.2,51.8,0,1,NA,"88",0,0,NA,NA,15,11,"11","14",11,5,3,3,4,2,4,0,5,2,0,3,1,"28",0,NA,3,0,0,0,1,1,0,26,16,6,6,4,7,3,"victory","Brighton and Hove Albion","Watford",0,1
"9","2019/2020","premier league",1,"Sunday","11","August","2019","2:00pm","The King Power Stadium",NA,"Andre Marriner","Jonathan Moss","Leicester City","Wolverhampton Wanderers",0,0,"NA","NA",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,70,30,0,2,NA,"60 31",0,0,NA,NA,3,13,"11","3",16,8,1,2,10,4,5,2,12,3,0,1,0,NA,0,NA,0,0,0,0,0,2,0,16,24,3,14,7,15,1,"draw",NA,NA,NA,NA
"10","2019/2020","premier league",1,"Sunday","11","August","2019","4:30pm","Old Trafford",NA,"Anthony Taylor","Stuart Attwell","Manchester United","Chelsea",4,0,"18 67 65 81","NA",1,0,"18",NA,1,0,"18",NA,0,0,NA,NA,NA,NA,NA,NA,46.2,53.8,3,4,"69 48 80","36 52 57 90",0,0,NA,NA,15,13,"12","15",11,18,5,7,2,7,4,4,3,5,2,0,0,NA,0,NA,4,1,1,0,0,7,0,28,29,12,9,8,8,2,"victory","Manchester United","Chelsea",1,0
