"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","home_team_goal","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2012-13","serie A",14,NA,"25","11","2012","15:00","Gewiss Stadium",NA,"Daniele Doveri",NA,"Atalanta","Genoa",0,1,NA,"39",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"45+2","15, 49, 53",0,0,NA,NA,8,15,NA,NA,9,6,3,2,6,4,1,3,9,2,6,4,0,NA,0,NA,NA,1,0,0,0,0,4,0,23,15,5,10,4,11,10,"victory","Genoa","Atalanta",0,1
"2012-13","serie A",14,NA,"25","11","2012","15:00","Marcantonio Bentegodi",NA,"Davide Massa",NA,"Chievoverona","Robur Siena",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"21, 34, 83","19, 60",0,0,NA,NA,24,8,NA,NA,4,7,1,2,3,5,1,0,7,4,3,0,0,NA,0,NA,NA,0,0,0,0,0,5,0,32,11,3,8,1,11,3,"draw",NA,NA,NA,NA
"2012-13","serie A",14,NA,"25","11","2012","15:00","Adriatico",NA,"Andrea Gervasoni",NA,"Pescara","Roma",0,1,NA,"5",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"75, 79, 90+3, 90+4","62",0,0,NA,NA,15,9,NA,NA,5,17,0,6,5,11,5,0,4,3,2,1,0,NA,0,NA,NA,1,0,0,0,0,5,0,24,22,6,16,5,7,3,"victory","Roma","Pescara",0,1
"2012-13","serie A",14,NA,"25","11","2012","15:00","Luigi Ferraris",NA,"Domenico Celi",NA,"Sampdoria","Bologna",1,0,"61",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12, 16, 66, 81","60, 75",0,1,"5",NA,15,13,NA,NA,10,7,5,3,5,4,3,5,5,8,2,2,0,NA,0,NA,NA,1,0,0,0,0,6,1,28,17,8,9,8,13,4,"victory","Sampdoria","Bologna",1,0
"2012-13","serie A",14,NA,"25","11","2012","15:00","Olimpico",NA,"Antonio Damato",NA,"Torino","Fiorentina",2,2,"40 76","74 84",0,1,NA,"74",0,1,NA,"74",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"73","49",0,0,NA,NA,20,15,NA,NA,7,15,4,5,3,10,2,2,5,3,1,1,0,NA,0,NA,NA,4,1,1,0,0,2,0,35,22,9,13,4,8,2,"draw",NA,NA,NA,NA
"2012-13","serie A",14,NA,"25","11","2012","20:45","Giuseppe Meazza",NA,"Nicola Rizzoli",NA,"Milan","Juventus",1,0,"31",NA,1,0,"31",NA,1,0,"31",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"17, 90+4","30, 43, 86, 90+4",0,0,NA,NA,15,8,NA,NA,10,8,6,3,4,5,3,5,5,6,3,3,0,NA,0,NA,NA,1,1,1,0,0,6,0,23,18,9,9,8,11,6,"victory","Milan","Juventus",1,0
"2012-13","serie A",14,NA,"26","11","2012","19:00","Is Arenas",NA,"Antonio Danilo Giannoccaro",NA,"Cagliari","Napoli",0,1,NA,"73",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"33, 83, 90+3","7",0,0,NA,NA,12,14,NA,NA,14,11,5,5,9,6,3,4,9,3,5,0,0,NA,0,NA,NA,1,0,0,0,0,4,0,26,25,10,15,7,12,5,"victory","Napoli","Cagliari",0,1
"2012-13","serie A",14,NA,"26","11","2012","21:00","Ennio Tardini",NA,"Luca Banti",NA,"Parma","Inter",1,0,"75",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"37, 71","66, 90+2",0,0,NA,NA,8,15,NA,NA,13,9,6,5,7,4,5,5,7,7,2,4,0,NA,0,NA,NA,1,0,0,0,0,4,0,23,22,11,11,10,14,6,"victory","Parma","Inter",1,0
"2012-13","serie A",14,NA,"27","11","2012","20:45","Olimpico",NA,"Gianpaolo Calvarese",NA,"Lazio","Udinese",3,0,"17 31 59",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"39, 84","90+2",0,0,NA,NA,15,13,NA,NA,7,6,5,3,2,3,2,2,4,3,0,1,0,NA,0,NA,NA,3,0,0,0,0,3,0,28,13,8,5,4,7,1,"victory","Lazio","Udinese",1,0
"2012-13","serie A",15,NA,"30","11","2012","20:45","Angelo Massimino",NA,"Daniele Orsato",NA,"Catania","Milan",1,3,"11","53 56 90+2",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"41, 86, 90+5","41, 54, 62",0,1,"90",NA,12,10,NA,NA,4,8,2,7,2,1,3,2,3,4,1,6,0,NA,0,NA,NA,4,0,0,0,0,6,1,22,12,9,3,5,7,7,"victory","Milan","Catania",0,1
"2012-13","serie A",15,NA,"01","12","2012","20:45","Allianz Stadium",NA,"Gianluca Rocchi",NA,"Juventus","Torino",3,0,"57 67 84",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"20, 60, 63, 80","21",0,1,"36",NA,14,13,NA,NA,23,5,11,3,12,2,3,8,15,2,1,1,0,NA,0,NA,NA,3,0,0,0,0,5,1,27,28,14,14,11,17,2,"victory","Juventus","Torino",1,0
"2012-13","serie A",15,NA,"02","12","2012","12:30","San Paolo",NA,"Sebastiano Peruzzo",NA,"Napoli","Pescara",5,1,"9 15 58 63 78","18",1,0,"58",NA,1,0,"58",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"39, 83","70, 85",0,1,"57",NA,10,11,NA,NA,23,4,12,1,11,3,0,5,7,4,3,0,0,NA,0,NA,NA,6,1,1,0,0,4,1,21,27,13,14,5,11,3,"victory","Napoli","Pescara",1,0
"2012-13","serie A",15,NA,"02","12","2012","15:00","Renato Dall'ara",NA,"Antonio Danilo Giannoccaro",NA,"Bologna","Atalanta",2,1,"16 70","50",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"27, 79","28, 54, 73, 76",0,0,NA,NA,20,18,NA,NA,11,10,8,4,3,6,3,4,5,7,1,4,0,NA,0,NA,NA,3,0,0,0,0,6,0,38,21,12,9,7,12,5,"victory","Bologna","Atalanta",1,0
"2012-13","serie A",15,NA,"02","12","2012","15:00","Luigi Ferraris",NA,"Paolo Tagliavento",NA,"Genoa","Chievoverona",2,4,"40 56","14 22 45+1 89",0,1,NA,"14",0,1,NA,"14",0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,5,"13, 27, 80, 84","16, 24, 44, 51, 69",0,0,NA,NA,14,19,NA,NA,12,9,3,6,9,3,2,1,8,2,4,3,0,NA,0,NA,NA,6,1,1,0,0,9,0,33,21,9,12,3,10,7,"victory","Chievoverona","Genoa",0,1
"2012-13","serie A",15,NA,"02","12","2012","15:00","Giuseppe Meazza",NA,"Mauro Bergonzi",NA,"Inter","Palermo",1,0,"74",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"40, 71","19, 54, 63",0,0,NA,NA,11,17,NA,NA,14,4,4,1,10,3,1,4,7,1,3,3,1,"74",0,NA,NA,1,0,0,0,1,5,0,28,18,5,13,5,8,6,"victory","Inter","Palermo",1,0
"2012-13","serie A",15,NA,"02","12","2012","15:00","Olimpico",NA,"Marco Guida",NA,"Lazio","Parma",2,1,"25 34","66",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,0,"81, 82, 83",NA,0,0,NA,NA,9,10,NA,NA,5,9,3,4,2,5,3,1,3,7,3,0,0,NA,0,NA,NA,3,0,0,0,0,3,0,19,14,7,7,4,10,3,"victory","Lazio","Parma",1,0
"2012-13","serie A",15,NA,"02","12","2012","15:00","Artemio Franchi",NA,"Paolo Silvio Mazzoleni",NA,"Robur Siena","Roma",1,3,"25","63 86 90+1",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"78","56, 66",0,0,NA,NA,17,11,NA,NA,3,17,2,10,1,7,7,1,3,8,2,1,0,NA,0,NA,NA,4,0,0,0,0,3,0,28,20,12,8,8,11,3,"victory","Roma","Robur Siena",0,1
"2012-13","serie A",15,NA,"02","12","2012","15:00","Dacia Arena",NA,"Dino Tommasi",NA,"Udinese","Cagliari",4,1,"33 39 48 66","80",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"35","33, 42, 52, 75, 84",0,0,NA,NA,15,21,NA,NA,13,7,7,3,6,4,2,3,6,5,3,3,0,NA,0,NA,NA,5,0,0,0,0,6,0,36,20,10,10,5,11,6,"victory","Udinese","Cagliari",1,0
"2012-13","serie A",15,NA,"02","12","2012","20:45","Artemio Franchi",NA,"Paolo Valeri",NA,"Fiorentina","Sampdoria",2,2,"21 75","48 72",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"6","13, 67",0,1,"90",NA,5,16,NA,NA,17,5,7,3,10,2,1,5,8,2,3,1,0,NA,1,"72",NA,4,0,0,0,1,3,1,21,22,10,12,6,10,4,"draw",NA,NA,NA,NA
"2012-13","serie A",16,NA,"08","12","2012","18:00","Gewiss Stadium",NA,"Gianpaolo Calvarese",NA,"Atalanta","Parma",2,1,"4 39","45",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"36, 43, 71, 79","63, 87",0,0,NA,NA,13,13,NA,NA,9,10,7,3,2,7,2,5,5,2,6,2,0,NA,0,NA,NA,3,0,0,0,0,6,0,26,19,10,9,7,7,8,"victory","Atalanta","Parma",1,0
"2012-13","serie A",16,NA,"08","12","2012","20:45","Olimpico",NA,"Luca Banti",NA,"Roma","Fiorentina",4,2,"7 19 45+1 89","14 46",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"22","22, 35, 69, 72, 81",0,0,NA,NA,12,18,NA,NA,13,7,8,6,5,1,4,4,9,5,2,4,0,NA,0,NA,NA,6,0,0,0,0,6,0,30,20,14,6,8,14,6,"victory","Roma","Fiorentina",1,0
"2012-13","serie A",16,NA,"09","12","2012","15:00","Is Arenas",NA,"Carmine Russo",NA,"Cagliari","Chievoverona",0,2,NA,"67 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"15, 36, 59","61, 80, 88",0,0,NA,NA,12,21,NA,NA,14,5,8,2,6,3,0,6,12,1,1,4,0,NA,0,NA,NA,2,0,0,0,0,6,0,33,19,10,9,6,13,5,"victory","Chievoverona","Cagliari",0,1
"2012-13","serie A",16,NA,"09","12","2012","15:00","Renzo Barbera",NA,"Andrea De Marco",NA,"Palermo","Juventus",0,1,NA,"50",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"67","37, 78, 87",0,0,NA,NA,17,11,NA,NA,3,15,1,6,2,9,3,1,3,9,2,5,0,NA,0,NA,NA,1,0,0,0,0,4,0,28,18,7,11,4,12,7,"victory","Juventus","Palermo",0,1
"2012-13","serie A",16,NA,"09","12","2012","15:00","Adriatico",NA,"Domenico Celi",NA,"Pescara","Genoa",2,0,"52 73",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"5, 74","59, 68, 82, 90+1",0,0,NA,NA,11,12,NA,NA,9,11,5,8,4,3,6,3,3,5,2,0,0,NA,0,NA,NA,2,0,0,0,0,6,0,23,20,13,7,9,8,2,"victory","Pescara","Genoa",1,0
"2012-13","serie A",16,NA,"09","12","2012","15:00","Artemio Franchi",NA,"Daniele Doveri",NA,"Robur Siena","Catania",1,3,"10","50 67 82",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"12, 63","23, 75",0,0,NA,NA,13,7,NA,NA,11,19,9,9,2,10,5,7,3,11,4,2,0,NA,0,NA,NA,4,0,0,0,0,4,0,20,30,18,12,12,14,6,"victory","Catania","Robur Siena",0,1
"2012-13","serie A",16,NA,"09","12","2012","15:00","Olimpico",NA,"Andrea Romeo",NA,"Torino","Milan",2,4,"28 80","40 53 61 76",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"33, 86","55, 86",0,0,NA,NA,11,12,NA,NA,8,14,3,8,5,6,2,1,4,4,2,1,0,NA,0,NA,NA,6,0,0,0,0,4,0,23,22,11,11,3,8,3,"victory","Milan","Torino",0,1
"2012-13","serie A",16,NA,"09","12","2012","20:45","Giuseppe Meazza",NA,"Nicola Rizzoli",NA,"Inter","Napoli",2,1,"8 39","54",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"28, 57","43, 59, 61",0,0,NA,NA,12,14,NA,NA,7,14,3,5,4,9,3,0,4,9,5,3,0,NA,0,NA,NA,3,0,0,0,0,5,0,26,21,8,13,3,13,8,"victory","Inter","Napoli",1,0
"2012-13","serie A",16,NA,"10","12","2012","19:00","Luigi Ferraris",NA,"Andrea Gervasoni",NA,"Sampdoria","Udinese",0,2,NA,"17 28",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"35, 54","68",0,0,NA,NA,11,18,NA,NA,13,10,4,5,9,5,3,4,6,3,2,0,0,NA,0,NA,NA,2,0,0,0,0,3,0,29,23,9,14,7,9,2,"victory","Udinese","Sampdoria",0,1
"2012-13","serie A",16,NA,"10","12","2012","21:00","Renato Dall'ara",NA,"Antonio Damato",NA,"Bologna","Lazio",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"57, 79","31, 55",0,0,NA,NA,18,14,NA,NA,10,13,4,8,6,5,8,4,3,5,4,0,0,NA,0,NA,NA,0,0,0,0,0,4,0,32,23,12,11,12,8,4,"draw",NA,NA,NA,NA
"2012-13","serie A",17,NA,"15","12","2012","18:00","Dacia Arena",NA,"Sebastiano Peruzzo",NA,"Udinese","Palermo",1,1,"89","33",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"35, 41, 76, 82","39, 45",0,0,NA,NA,10,20,NA,NA,14,17,5,7,9,10,7,3,4,7,6,2,0,NA,0,NA,NA,2,0,0,0,0,6,0,30,31,12,19,10,11,8,"draw",NA,NA,NA,NA
"2012-13","serie A",17,NA,"15","12","2012","20:45","Olimpico",NA,"Paolo Silvio Mazzoleni",NA,"Lazio","Inter",1,0,"82",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"66, 90","45, 52",0,0,NA,NA,8,6,NA,NA,4,2,1,0,3,2,0,1,5,1,1,1,0,NA,0,NA,NA,1,0,0,0,0,4,0,14,6,1,5,1,6,2,"victory","Lazio","Inter",1,0
"2012-13","serie A",17,NA,"16","12","2012","12:30","Artemio Franchi",NA,"Paolo Tagliavento",NA,"Fiorentina","Robur Siena",4,1,"16 19 44 79","70",1,0,"19",NA,1,0,"19",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,5,"31, 61","18, 31, 63, 67, 69",0,0,NA,NA,8,14,NA,NA,13,9,6,4,7,5,3,2,7,4,0,2,0,NA,0,NA,NA,5,1,1,0,0,7,0,22,22,10,12,5,11,2,"victory","Fiorentina","Robur Siena",1,0
"2012-13","serie A",17,NA,"16","12","2012","15:00","Angelo Massimino",NA,"Piero Giacomelli",NA,"Catania","Sampdoria",3,1,"55 65 90","29",0,1,NA,"29",0,1,NA,"29",0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"1, 28, 42","55, 70",0,0,NA,NA,13,10,NA,NA,12,7,5,2,7,5,1,2,5,1,4,1,0,NA,0,NA,NA,4,1,1,0,0,5,0,23,19,7,12,3,6,5,"victory","Catania","Sampdoria",1,0
"2012-13","serie A",17,NA,"16","12","2012","15:00","Marcantonio Bentegodi",NA,"Mauro Bergonzi",NA,"Chievoverona","Roma",1,0,"87",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"28, 90+2","24, 62",0,0,NA,NA,10,6,NA,NA,6,7,5,2,1,5,2,4,5,7,7,1,0,NA,0,NA,NA,1,0,0,0,0,4,0,16,13,7,6,6,12,8,"victory","Chievoverona","Roma",1,0
"2012-13","serie A",17,NA,"16","12","2012","15:00","Luigi Ferraris",NA,"Daniele Orsato",NA,"Genoa","Torino",1,1,"28","19",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"27, 45+2, 68","37, 45+2, 62",0,0,NA,NA,17,10,NA,NA,12,7,6,4,6,3,2,5,8,5,4,3,0,NA,0,NA,NA,2,0,0,0,0,6,0,27,19,10,9,7,13,7,"draw",NA,NA,NA,NA
"2012-13","serie A",17,NA,"16","12","2012","15:00","Allianz Stadium",NA,"Davide Massa",NA,"Juventus","Atalanta",3,0,"2 14 27",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,"30",0,0,NA,NA,9,9,NA,NA,25,7,16,2,9,5,2,13,6,8,5,1,0,NA,0,NA,NA,3,0,0,0,0,1,0,18,32,18,14,15,14,6,"victory","Juventus","Atalanta",1,0
"2012-13","serie A",17,NA,"16","12","2012","15:00","Giuseppe Meazza",NA,"Antonio Danilo Giannoccaro",NA,"Milan","Pescara",4,1,"1 51 79 81","56",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"56, 74","40, 50",0,0,NA,NA,12,13,NA,NA,13,11,8,6,5,5,5,6,9,5,2,0,2,"51, 79",0,NA,NA,5,0,0,0,2,4,0,25,24,14,10,11,14,2,"victory","Milan","Pescara",1,0
"2012-13","serie A",17,NA,"16","12","2012","15:00","Ennio Tardini",NA,"Emilio Ostinelli",NA,"Parma","Cagliari",4,1,"22 54 65 86","20",1,0,"65",NA,1,0,"65",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,6,"14, 26, 52, 79","3, 31, 40, 56, 64, 82",0,0,NA,NA,14,13,NA,NA,14,6,7,4,7,2,3,2,3,6,4,2,0,NA,0,NA,NA,5,1,1,0,0,10,0,27,20,11,9,5,9,6,"victory","Parma","Cagliari",1,0
"2012-13","serie A",17,NA,"16","12","2012","20:45","San Paolo",NA,"Paolo Valeri",NA,"Napoli","Bologna",2,3,"50 70","10 86 88",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"29, 69","18, 45+3, 84",0,0,NA,NA,12,11,NA,NA,21,9,11,6,10,3,3,9,8,5,1,3,0,NA,0,NA,NA,5,0,0,0,0,5,0,23,30,17,13,12,13,4,"victory","Bologna","Napoli",0,1
"2012-13","serie A",18,NA,"21","12","2012","18:00","Adriatico",NA,"Andrea Romeo",NA,"Pescara","Catania",2,1,"24 90+5","36",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"61","25, 45",0,0,NA,NA,13,18,NA,NA,7,14,4,6,3,8,4,2,5,7,1,4,0,NA,0,NA,NA,3,0,0,0,0,3,0,31,21,10,11,6,12,5,"victory","Pescara","Catania",1,0
"2012-13","serie A",18,NA,"21","12","2012","20:45","Is Arenas",NA,"Antonio Damato",NA,"Cagliari","Juventus",1,3,"16","75 90+2 90+5",1,0,"16",NA,1,0,"16",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"20, 29, 37, 57, 60","27, 54",0,0,NA,NA,20,12,NA,NA,3,18,2,10,1,8,6,1,1,6,1,4,0,NA,0,NA,NA,4,1,1,0,0,7,0,32,21,12,9,7,7,5,"victory","Juventus","Cagliari",0,1
"2012-13","serie A",18,NA,"22","12","2012","12:30","Giuseppe Meazza",NA,"Andrea Gervasoni",NA,"Inter","Genoa",1,1,"85","77",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"26, 90+3","56, 70",0,0,NA,NA,10,18,NA,NA,10,6,5,2,5,4,1,3,7,2,4,4,0,NA,0,NA,NA,2,0,0,0,0,4,0,28,16,7,9,4,9,8,"draw",NA,NA,NA,NA
"2012-13","serie A",18,NA,"22","12","2012","15:00","Gewiss Stadium",NA,"Marco Guida",NA,"Atalanta","Udinese",1,1,"40","33",1,0,"40",NA,1,0,"40",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"47, 64","7, 29, 31, 39",0,0,NA,NA,14,11,NA,NA,10,5,6,3,4,2,2,5,4,2,1,0,0,NA,0,NA,NA,2,1,1,0,0,6,0,25,15,9,6,7,6,1,"draw",NA,NA,NA,NA
"2012-13","serie A",18,NA,"22","12","2012","15:00","Renato Dall'ara",NA,"Carmine Russo",NA,"Bologna","Parma",1,2,"54","56 66",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"11, 43","13, 53, 66, 88",0,0,NA,NA,7,19,NA,NA,11,13,6,8,5,5,6,5,7,3,5,1,0,NA,0,NA,NA,3,0,0,0,0,6,0,26,24,14,10,11,10,6,"victory","Parma","Bologna",0,1
"2012-13","serie A",18,NA,"22","12","2012","15:00","Renzo Barbera",NA,"Domenico Celi",NA,"Palermo","Fiorentina",0,3,NA,"50 83 89",0,2,NA,"83, 89",0,2,NA,"83, 89",0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"27, 82, 85","10, 32, 54, 90+2",0,0,NA,NA,13,14,NA,NA,4,17,1,10,3,7,7,1,2,10,5,0,0,NA,0,NA,NA,3,2,2,0,0,7,0,27,21,11,10,8,12,5,"victory","Fiorentina","Palermo",0,1
"2012-13","serie A",18,NA,"22","12","2012","15:00","Artemio Franchi",NA,"Andrea De Marco",NA,"Robur Siena","Napoli",0,2,NA,"87 90",0,1,NA,"90",0,1,NA,"90",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,0,"77, 90+1",NA,0,0,NA,NA,7,13,NA,NA,2,11,0,6,2,5,4,0,2,7,2,1,0,NA,0,NA,NA,2,1,1,0,0,2,0,20,13,6,7,4,9,3,"victory","Napoli","Robur Siena",0,1
"2012-13","serie A",18,NA,"22","12","2012","15:00","Luigi Ferraris",NA,"Nicola Rizzoli",NA,"Sampdoria","Lazio",0,1,NA,"31",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"46, 80","41, 66, 76",0,0,NA,NA,11,19,NA,NA,8,8,3,2,5,6,1,3,7,3,0,0,0,NA,0,NA,NA,1,0,0,0,0,5,0,30,16,5,11,4,10,0,"victory","Lazio","Sampdoria",0,1
"2012-13","serie A",18,NA,"22","12","2012","15:00","Olimpico",NA,"Luca Banti",NA,"Torino","Chievoverona",2,0,"12 26",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"18, 45, 67, 69","18, 88",0,0,NA,NA,10,11,NA,NA,8,4,3,1,5,3,1,2,2,3,5,1,1,"12",0,NA,NA,2,0,0,0,1,6,0,21,12,4,8,3,5,6,"victory","Torino","Chievoverona",1,0
"2012-13","serie A",18,NA,"22","12","2012","20:45","Olimpico",NA,"Gianluca Rocchi",NA,"Roma","Milan",4,2,"13 23 30 61","87 88",0,1,NA,"87",0,1,NA,"87",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"54, 86","15, 58, 81",1,0,NA,NA,11,17,NA,NA,9,14,7,11,2,3,8,3,4,7,1,4,0,NA,0,NA,NA,6,1,1,0,0,5,1,28,23,18,5,11,11,5,"victory","Roma","Milan",1,0
"2012-13","serie A",19,NA,"05","01","2013","18:00","Angelo Massimino",NA,"Mauro Bergonzi",NA,"Catania","Torino",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,5,"30, 75","22, 59, 71, 76, 82",1,0,NA,NA,13,24,NA,NA,12,6,7,2,5,4,2,7,5,4,2,3,0,NA,0,NA,NA,0,0,0,0,0,7,1,37,18,9,9,9,9,5,"draw",NA,NA,NA,NA
"2012-13","serie A",19,NA,"05","01","2013","20:45","Olimpico",NA,"Daniele Orsato",NA,"Lazio","Cagliari",2,1,"80 86","62",1,0,"86",NA,1,0,"86",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"44","47, 83, 88",0,1,"85",NA,12,14,NA,NA,16,6,10,4,6,2,3,6,7,1,1,4,0,NA,0,NA,NA,3,1,1,0,0,4,1,26,22,14,8,9,8,5,"victory","Lazio","Cagliari",1,0
"2012-13","serie A",19,NA,"06","01","2013","12:30","Dacia Arena",NA,"Antonio Danilo Giannoccaro",NA,"Udinese","Inter",3,0,"64 75 79",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"32, 48, 90+1","9, 25, 39",0,0,NA,NA,14,10,NA,NA,13,8,6,3,7,5,3,2,4,9,3,3,0,NA,0,NA,NA,3,0,0,0,0,6,0,24,21,9,12,5,13,6,"victory","Udinese","Inter",1,0
"2012-13","serie A",19,NA,"06","01","2013","15:00","Marcantonio Bentegodi",NA,"Maurizio Mariani",NA,"Chievoverona","Atalanta",1,0,"37",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"80","44, 67, 76",0,0,NA,NA,19,12,NA,NA,6,7,2,5,4,2,5,1,4,7,2,1,0,NA,0,NA,NA,1,0,0,0,0,4,0,31,13,7,6,6,11,3,"victory","Chievoverona","Atalanta",1,0
"2012-13","serie A",19,NA,"06","01","2013","15:00","Artemio Franchi",NA,"Piero Giacomelli",NA,"Fiorentina","Pescara",0,2,NA,"57 90+1",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,5,"70","5, 34, 36, 40, 47",0,0,NA,NA,13,19,NA,NA,18,4,16,3,2,1,1,16,9,2,4,1,0,NA,0,NA,NA,2,0,0,0,0,6,0,32,22,19,3,17,11,5,"victory","Pescara","Fiorentina",0,1
