"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","home_team_goal","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2012-13","serie A",11,NA,"04","11","2012","15:00","Angelo Massimino",NA,"Paolo Silvio Mazzoleni",NA,"Catania","Lazio",4,0,"9 25 28 69",NA,1,0,"25",NA,1,0,"25",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"27",NA,0,0,NA,NA,17,14,NA,NA,14,6,6,3,8,3,3,2,6,5,1,1,0,NA,0,NA,NA,4,1,1,0,0,1,0,31,20,9,11,5,11,2,"victory","Catania","Lazio",1,0
"2012-13","serie A",11,NA,"04","11","2012","15:00","Artemio Franchi",NA,"Gianpaolo Calvarese",NA,"Fiorentina","Cagliari",4,1,"14 50 54 84","43",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"36, 56","44",0,0,NA,NA,13,20,NA,NA,10,6,4,3,6,3,2,0,4,1,3,2,0,NA,0,NA,NA,5,0,0,0,0,3,0,33,16,7,9,2,5,5,"victory","Fiorentina","Cagliari",1,0
"2012-13","serie A",11,NA,"04","11","2012","15:00","San Paolo",NA,"Paolo Valeri",NA,"Napoli","Torino",1,1,"6","90+1",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,5,"19, 81, 86","35, 55, 64, 90+2, 90+3",0,0,NA,NA,15,14,NA,NA,9,7,2,4,7,3,3,1,5,11,1,5,0,NA,0,NA,NA,2,0,0,0,0,8,0,29,16,6,10,4,16,6,"draw",NA,NA,NA,NA
"2012-13","serie A",11,NA,"04","11","2012","15:00","Artemio Franchi",NA,"Sebastiano Peruzzo",NA,"Robur Siena","Genoa",1,0,"55",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"79, 79, 85, 90+2","29, 77",0,0,NA,NA,15,14,NA,NA,7,9,4,4,3,5,4,3,4,4,5,3,0,NA,0,NA,NA,1,0,0,0,0,6,0,29,16,8,8,7,8,8,"victory","Robur Siena","Genoa",1,0
"2012-13","serie A",11,NA,"04","11","2012","15:00","Luigi Ferraris",NA,"Carmine Russo",NA,"Sampdoria","Atalanta",1,2,"53","2 76",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"8, 54, 58","25, 40",0,0,NA,NA,14,21,NA,NA,8,13,6,4,2,9,1,4,6,2,2,2,0,NA,0,NA,NA,3,0,0,0,0,5,0,35,21,10,11,5,8,4,"victory","Atalanta","Sampdoria",0,1
"2012-13","serie A",11,NA,"04","11","2012","20:45","Olimpico",NA,"Andrea De Marco",NA,"Roma","Palermo",4,1,"11 31 69 79","82",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"77, 85","5, 88",0,0,NA,NA,12,11,NA,NA,17,10,11,7,6,3,6,7,15,6,2,4,0,NA,0,NA,NA,5,0,0,0,0,4,0,23,27,18,9,13,21,6,"victory","Roma","Palermo",1,0
"2012-13","serie A",12,NA,"10","11","2012","18:00","Is Arenas",NA,"Marco Di Bello",NA,"Cagliari","Catania",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"12, 81, 88, 90","36, 82",0,0,NA,NA,19,17,NA,NA,9,3,5,0,4,3,0,7,5,2,1,2,0,NA,0,NA,NA,0,0,0,0,0,6,0,36,12,5,7,7,7,3,"draw",NA,NA,NA,NA
"2012-13","serie A",12,NA,"10","11","2012","20:45","Adriatico",NA,"Luca Banti",NA,"Pescara","Juventus",1,6,"25","9 22 30 37 45 53",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"18, 67","40",0,0,NA,NA,5,13,NA,NA,18,19,7,9,11,10,3,5,9,3,1,0,0,NA,0,NA,NA,7,0,0,0,0,3,0,18,37,16,21,8,12,1,"victory","Juventus","Pescara",0,1
"2012-13","serie A",12,NA,"11","11","2012","12:30","Renzo Barbera",NA,"Antonio Danilo Giannoccaro",NA,"Palermo","Sampdoria",2,0,"52 71",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"64","7, 30",0,0,NA,NA,20,13,NA,NA,15,6,7,4,8,2,4,8,8,5,2,2,0,NA,0,NA,NA,2,0,0,0,0,3,0,33,21,11,10,12,13,4,"victory","Palermo","Sampdoria",1,0
"2012-13","serie A",12,NA,"11","11","2012","15:00","Marcantonio Bentegodi",NA,"Daniele Doveri",NA,"Chievoverona","Udinese",2,2,"38 89","42 90+1",1,0,"89",NA,1,0,"89",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,5,"9, 34","46, 67, 80, 82, 88",0,0,NA,NA,14,15,NA,NA,13,7,5,3,8,4,1,2,5,2,2,2,0,NA,0,NA,NA,4,1,1,0,0,7,0,29,20,8,12,3,7,4,"draw",NA,NA,NA,NA
