"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2018-19","serie A",1,NA,"18","08","2018","18:00","Marcantonio Bentegodi",NA,"Fabrizio Pasqua",NA,"Chievoverona","Juventus",2,3,"38 56","3 75 90+3",1,0,"56",NA,1,0,"56",NA,0,0,NA,NA,NA,NA,NA,NA,26,74,2,0,"60, 90+2",NA,0,0,NA,NA,7,9,"9","6",6,22,2,11,4,11,8,0,0,8,1,3,0,NA,1,"75",5,1,1,0,1,2,0,16,28,13,15,8,8,4,"victory","Juventus","Chievoverona",0,1
"2018-19","serie A",1,NA,"18","08","2018","20:30","Olimpico",NA,"Luca Banti",NA,"Lazio","Napoli",1,2,"25","45+2 59",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,40,60,0,0,NA,NA,0,0,NA,NA,8,5,"5","7",9,11,5,6,4,5,2,2,4,7,4,2,0,NA,0,NA,3,0,0,0,0,0,0,13,20,11,9,4,11,6,"victory","Napoli","Lazio",0,1
"2018-19","serie A",1,NA,"19","08","2018","18:00","Olimpico Grande Torino",NA,"Marco Di Bello",NA,"Torino","Roma",0,1,NA,"89",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,49,51,1,3,"57","30, 84, 90",0,0,NA,NA,10,14,"14","10",8,16,5,13,3,3,5,4,6,5,2,1,0,NA,0,NA,1,0,0,0,0,4,0,24,24,18,6,9,11,3,"victory","Roma","Torino",0,1
"2018-19","serie A",1,NA,"19","08","2018","20:30","Renato Dall'ara",NA,"Piero Giacomelli",NA,"Bologna","Spal",0,1,NA,"71",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,43,57,3,2,"20, 64, 68","45+1, 82",0,0,NA,NA,16,11,"10","16",8,10,3,5,5,5,4,2,7,0,4,0,0,NA,0,NA,1,0,0,0,0,5,0,27,18,8,10,6,7,4,"victory","Spal","Bologna",0,1
"2018-19","serie A",1,NA,"19","08","2018","20:30","Carlo Castellani",NA,"Daniele Chiffi",NA,"Empoli","Cagliari",2,0,"14 51",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51,49,3,3,"28, 66, 90","44, 76, 90+2",0,0,NA,NA,19,19,"17","18",9,12,4,5,5,7,4,2,6,6,5,0,0,NA,0,NA,2,0,0,0,0,6,0,38,21,9,12,6,12,5,"victory","Empoli","Cagliari",1,0
"2018-19","serie A",1,NA,"19","08","2018","20:30","Ennio Tardini",NA,"Gianpaolo Calvarese",NA,"Parma","Udinese",2,2,"43 59","65 69",0,1,NA,"65",0,1,NA,"65",0,0,NA,NA,NA,NA,NA,NA,47,53,2,2,"84, 86","57, 90+3",0,0,NA,NA,10,13,"11","10",9,16,6,6,3,10,2,2,4,5,1,0,0,NA,0,NA,4,1,1,0,0,4,0,23,25,12,13,4,9,1,"draw",NA,NA,NA,NA
"2018-19","serie A",1,NA,"19","08","2018","20:30","Mapei Stadium",NA,"Maurizio Mariani",NA,"Sassuolo","Inter",1,0,"27",NA,1,0,"27",NA,1,0,"27",NA,0,0,NA,NA,NA,NA,NA,NA,46,54,3,2,"6, 16, 90","26, 54",0,0,NA,NA,23,11,"11","23",7,11,5,4,2,7,4,2,4,4,3,1,0,NA,0,NA,1,1,1,0,0,5,0,34,18,9,9,6,8,4,"victory","Sassuolo","Inter",1,0
"2018-19","serie A",1,NA,"20","08","2018","20:30","Gewiss Stadium",NA,"Marco Piccinini",NA,"Atalanta","Frosinone",4,0,"14 48 61 90+2",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61,39,0,2,NA,"31, 88",0,0,NA,NA,14,10,"10","13",16,6,10,1,6,5,0,6,4,4,6,3,0,NA,0,NA,4,0,0,0,0,2,0,24,22,11,11,6,8,9,"victory","Atalanta","Frosinone",1,0
"2018-19","serie A",1,NA,"19","09","2018","19:00","Luigi Ferraris",NA,"Fabio Maresca",NA,"Sampdoria","Fiorentina",1,1,"60","13",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,56,44,3,2,"38, 51, 85","72, 79",0,0,NA,NA,14,15,"15","13",8,14,4,9,4,5,8,2,4,6,3,1,0,NA,0,NA,2,0,0,0,0,5,0,29,22,13,9,10,10,4,"draw",NA,NA,NA,NA
"2018-19","serie A",1,NA,"31","10","2018","20:30","Giuseppe Meazza",NA,"Fabrizio Pasqua",NA,"Milan","Genoa",2,1,"4 90+1","56",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,61,39,2,2,"50, 83","43, 80",0,0,NA,NA,11,17,"17","11",19,7,10,2,9,5,2,8,7,2,1,0,0,NA,1,"56",3,0,0,0,1,4,0,28,26,12,14,10,9,1,"victory","Milan","Genoa",1,0
"2018-19","serie A",2,NA,"25","08","2018","18:00","Allianz Stadium",NA,"Massimiliano Irrati",NA,"Juventus","Lazio",2,0,"30 75",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57,43,3,2,"45+1, 81, 87","52, 66",0,0,NA,NA,12,13,"13","11",14,8,9,3,5,5,2,5,6,2,0,2,0,NA,0,NA,2,0,0,0,0,5,0,25,22,12,10,7,8,2,"victory","Juventus","Lazio",1,0
"2018-19","serie A",2,NA,"25","08","2018","20:30","San Paolo",NA,"Paolo Valeri",NA,"Napoli","Milan",3,2,"53 67 80","15 49",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47,53,2,2,"30, 90+2","31, 66",0,0,NA,NA,12,9,"7","12",21,6,13,4,8,2,2,6,5,1,3,2,0,NA,0,NA,5,0,0,0,0,4,0,21,27,17,10,8,6,5,"victory","Napoli","Milan",1,0
"2018-19","serie A",2,NA,"26","08","2018","18:00","Renato Dall'ara",NA,"Daniele Orsato",NA,"Spal","Parma",1,0,"49",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,57,43,5,2,"6, 61, 70, 71, 72","69, 73",0,0,NA,NA,13,14,"13","13",15,3,5,0,10,3,0,4,7,2,0,2,0,NA,0,NA,1,0,0,0,0,7,0,27,18,5,13,4,9,2,"victory","Spal","Parma",1,0
"2018-19","serie A",2,NA,"26","08","2018","20:30","Sardegna Arena",NA,"Luca Pairetto",NA,"Cagliari","Sassuolo",2,2,"10 73","53 90+9",0,1,NA,"90+9",0,1,NA,"90+9",0,0,NA,NA,NA,NA,NA,NA,40,60,4,3,"34, 61, 69, 90+9","33, 63, 74",0,0,NA,NA,14,14,"14","12",12,12,7,6,5,6,3,3,7,2,1,2,0,NA,0,NA,4,1,1,0,0,7,0,28,24,13,11,6,9,3,"draw",NA,NA,NA,NA
"2018-19","serie A",2,NA,"26","08","2018","20:30","Artemio Franchi",NA,"Rosario Abisso",NA,"Fiorentina","Chievoverona",6,1,"8 42 49 71 90 90+3","76",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50,50,1,3,"39","66, 81, 85",0,0,NA,NA,14,8,"7","14",19,5,15,3,4,2,2,5,2,3,2,5,0,NA,0,NA,7,0,0,0,0,4,0,22,24,18,6,7,5,7,"victory","Fiorentina","Chievoverona",1,0
"2018-19","serie A",2,NA,"26","08","2018","20:30","Olimpico Grande Torino",NA,"Gianluca Manganiello",NA,"Frosinone","Bologna",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,51,49,2,1,"61, 86","84",0,0,NA,NA,15,12,"12","13",11,10,7,5,4,5,3,4,2,5,0,0,0,NA,0,NA,0,0,0,0,0,3,0,27,21,12,9,7,7,0,"draw",NA,NA,NA,NA
"2018-19","serie A",2,NA,"26","08","2018","20:30","Luigi Ferraris",NA,"Livio Marinelli",NA,"Genoa","Empoli",2,1,"6 18","90+4",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,33,67,3,2,"45, 52, 59","85, 90+2",0,0,NA,NA,14,15,"14","13",10,12,4,8,6,4,4,1,3,6,0,3,0,NA,0,NA,3,0,0,0,0,5,0,29,22,12,10,5,9,3,"victory","Genoa","Empoli",1,0
"2018-19","serie A",2,NA,"26","08","2018","20:30","Giuseppe Meazza",NA,"Paolo Silvio Mazzoleni",NA,"Inter","Torino",2,2,"6 32","56 68",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,52,48,1,2,"44","33, 36",0,0,NA,NA,16,12,"12","16",9,10,6,7,3,3,4,4,5,4,1,3,0,NA,0,NA,4,0,0,0,0,3,0,28,19,13,6,8,9,4,"draw",NA,NA,NA,NA
"2018-19","serie A",2,NA,"26","08","2018","20:30","Dacia Arena",NA,"Federico La Penna",NA,"Udinese","Sampdoria",1,0,"9",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,47,53,1,3,"86","26, 57, 67",0,0,NA,NA,6,10,"10","6",13,9,5,4,8,5,3,4,8,7,0,0,0,NA,0,NA,1,0,0,0,0,4,0,16,22,9,13,7,15,0,"victory","Udinese","Sampdoria",1,0
"2018-19","serie A",2,NA,"27","08","2018","20:30","Olimpico",NA,"Michael Fabbri",NA,"Roma","Atalanta",3,3,"2 60 82","19 22 38",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,49,51,1,1,"58","81",0,0,NA,NA,9,13,"13","8",21,17,11,10,10,7,2,7,3,11,0,6,0,NA,0,NA,6,0,0,0,0,2,0,22,38,21,17,9,14,6,"draw",NA,NA,NA,NA
"2018-19","serie A",3,NA,"31","08","2018","20:30","Giuseppe Meazza",NA,"Marco Guida",NA,"Milan","Roma",2,1,"40 90+5","59",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,60,40,0,2,NA,"77, 88",0,0,NA,NA,8,6,"6","5",19,5,10,2,9,3,1,8,8,3,7,1,0,NA,0,NA,3,0,0,0,0,2,0,14,24,12,12,9,11,8,"victory","Milan","Roma",1,0
"2018-19","serie A",3,NA,"01","09","2018","18:00","Renato Dall'ara",NA,"Marco Di Bello",NA,"Bologna","Inter",0,3,NA,"67 82 85",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,34,66,1,1,"60","88",0,0,NA,NA,7,10,"9","7",7,10,1,4,6,6,1,1,3,7,3,2,0,NA,0,NA,3,0,0,0,0,2,0,17,17,5,12,2,10,5,"victory","Inter","Bologna",0,1
"2018-19","serie A",3,NA,"01","09","2018","20:30","Ennio Tardini",NA,"Daniele Doveri",NA,"Parma","Juventus",1,2,"33","2 58",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,32,68,1,3,"45+2","13, 40, 90",0,0,NA,NA,15,9,"8","15",8,20,7,10,1,10,4,3,4,7,1,2,0,NA,0,NA,3,0,0,0,0,4,0,24,28,17,11,7,11,3,"victory","Juventus","Parma",0,1
