"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2009-10","serie A",1,NA,"22","08","2009","18:00","Renato Dall'ara",NA,"Andrea Gervasoni",NA,"Bologna","Fiorentina",1,1,"24","64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"69","31, 67",0,0,NA,NA,14,21,NA,NA,4,11,4,7,0,4,8,3,4,8,4,7,0,NA,0,NA,2,0,0,0,0,3,0,35,15,11,4,11,12,11,"draw",NA,NA,NA,NA
"2009-10","serie A",1,NA,"22","08","2009","20:45","Artemio Franchi",NA,"Paolo Tagliavento",NA,"Robur Siena","Milan",1,2,"34","29 48",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"40, 73","90",0,0,NA,NA,22,10,NA,NA,10,8,5,5,5,3,3,4,5,8,2,6,0,NA,0,NA,3,0,0,0,0,3,0,32,18,10,8,7,13,8,"victory","Milan","Robur Siena",0,1
"2009-10","serie A",1,NA,"23","08","2009","18:00","Giuseppe Meazza",NA,"Carmine Russo",NA,"Inter","Bari",1,1,"56","74",1,0,"56",NA,1,0,"56",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"25, 25, 90+1","61, 71",0,0,NA,NA,21,15,NA,NA,10,11,3,4,7,7,3,2,10,1,1,4,0,NA,0,NA,2,1,1,0,0,5,0,36,21,7,14,5,11,5,"draw",NA,NA,NA,NA
"2009-10","serie A",1,NA,"23","08","2009","20:45","Angelo Massimino",NA,"Luca Banti",NA,"Catania","Sampdoria",1,2,"38","9 90+4",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"25, 80, 88","75, 90+2",0,0,NA,NA,26,13,NA,NA,7,11,3,5,4,6,3,2,11,4,1,0,0,NA,0,NA,3,0,0,0,0,5,0,39,18,8,10,5,15,1,"victory","Sampdoria","Catania",0,1
"2009-10","serie A",1,NA,"23","08","2009","20:45","Luigi Ferraris",NA,"Emidio Morganti",NA,"Genoa","Roma",3,2,"49 69 82","54 64",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"32, 40, 52, 88","67, 82",0,0,NA,NA,18,12,NA,NA,13,11,7,7,6,4,5,4,8,5,0,5,0,NA,0,NA,5,0,0,0,0,6,0,30,24,14,10,9,13,5,"victory","Genoa","Roma",1,0
"2009-10","serie A",1,NA,"23","08","2009","20:45","Olimpico",NA,"Gabriele Gava",NA,"Juventus","Chievoverona",1,0,"12",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"14, 70, 76","14",0,0,NA,NA,11,14,NA,NA,8,2,3,0,5,2,0,1,9,2,2,8,0,NA,0,NA,1,0,0,0,0,4,0,25,10,3,7,1,11,10,"victory","Juventus","Chievoverona",1,0
"2009-10","serie A",1,NA,"23","08","2009","20:45","Olimpico",NA,"Nicola Pierpaoli",NA,"Lazio","Atalanta",1,0,"23",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"21, 44, 70","29, 48, 79",0,0,NA,NA,19,15,NA,NA,8,10,3,3,5,7,3,2,3,9,1,1,0,NA,0,NA,1,0,0,0,0,6,0,34,18,6,12,5,12,2,"victory","Lazio","Atalanta",1,0
"2009-10","serie A",1,NA,"23","08","2009","20:45","Armando Picchi",NA,"Sebastiano Peruzzo",NA,"Livorno","Cagliari",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"40","56",0,0,NA,NA,15,10,NA,NA,14,10,6,4,8,6,3,7,4,5,2,2,0,NA,0,NA,0,0,0,0,0,2,0,25,24,10,14,10,9,4,"draw",NA,NA,NA,NA
"2009-10","serie A",1,NA,"23","08","2009","20:45","Renzo Barbera",NA,"Roberto Rosetti",NA,"Palermo","Napoli",2,1,"44 75","73",1,0,"75",NA,1,0,"75",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"26, 43, 83, 90+3","12, 80",0,0,NA,NA,18,12,NA,NA,8,11,5,8,3,3,6,3,4,11,2,5,0,NA,0,NA,3,1,1,0,0,6,0,30,19,13,6,9,15,7,"victory","Palermo","Napoli",1,0
"2009-10","serie A",1,NA,"23","08","2009","20:45","Dacia Arena",NA,"Paolo Valeri",NA,"Udinese","Parma",2,2,"45+3 89","42 49",1,0,"45+3",NA,1,0,"45+3",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4,2,"32, 38, 48, 85","45+1, 90+3",0,0,NA,NA,13,22,NA,NA,15,11,8,6,7,5,3,5,6,3,0,0,0,NA,0,NA,4,1,1,0,0,6,0,35,26,14,12,8,9,0,"draw",NA,NA,NA,NA
