"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2007-08","serie A",1,NA,"25","08","2007","18:00","Olimpico",NA,"Domenico Celi",NA,"Lazio","Torino",2,2,"56 61","34 68",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"45+2","39, 42",0,0,NA,NA,8,14,NA,NA,14,12,11,5,3,7,3,9,8,7,4,0,0,NA,0,NA,4,0,0,0,0,3,0,22,26,16,10,12,15,4,"draw",NA,NA,NA,NA
"2007-08","serie A",1,NA,"25","08","2007","20:30","Olimpico",NA,"Gabriele Gava",NA,"Juventus","Livorno",5,1,"29 71 86 87 90+2","90+4",1,0,"71",NA,1,0,"71",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"41, 72, 80","32, 45, 70",0,0,NA,NA,21,12,NA,NA,6,3,5,0,1,3,0,1,5,5,4,5,0,NA,0,NA,6,1,1,0,0,6,0,33,9,5,4,1,10,9,"victory","Juventus","Livorno",1,0
"2007-08","serie A",1,NA,"26","08","2007","15:00","Artemio Franchi",NA,"Matteo Simone Trefoloni",NA,"Fiorentina","Empoli",3,1,"56 65 70","90+2",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,"26",0,0,NA,NA,18,15,NA,NA,9,11,8,4,1,7,3,5,5,4,0,1,0,NA,0,NA,4,0,0,0,0,1,0,33,20,12,8,8,9,1,"victory","Fiorentina","Empoli",1,0
"2007-08","serie A",1,NA,"26","08","2007","15:00","Luigi Ferraris",NA,"Massimiliano Saccani",NA,"Genoa","Milan",0,3,NA,"21 44 45+3",0,1,NA,"45+3",0,1,NA,"45+3",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"45+2","37, 48",0,0,NA,NA,17,12,NA,NA,14,10,4,5,10,5,2,4,7,3,1,4,0,NA,0,NA,3,1,1,0,0,3,0,29,24,9,15,6,10,5,"victory","Milan","Genoa",0,1
"2007-08","serie A",1,NA,"26","08","2007","15:00","Giuseppe Meazza",NA,"Luca Banti",NA,"Inter","Udinese",1,1,"9","90+2",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"30, 85","34, 50",1,0,NA,NA,11,17,NA,NA,6,15,2,3,4,12,3,1,6,6,1,0,0,NA,1,"90+2",2,0,0,0,1,4,1,28,21,5,16,4,12,1,"draw",NA,NA,NA,NA
"2007-08","serie A",1,NA,"26","08","2007","15:00","San Paolo",NA,"Mauro Bergonzi",NA,"Napoli","Cagliari",0,2,NA,"49 59",0,1,NA,"59",0,1,NA,"59",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"43, 76","32, 44",0,0,NA,NA,17,4,NA,NA,13,11,6,5,7,6,3,5,2,3,6,5,0,NA,0,NA,2,1,1,0,0,4,0,21,24,11,13,8,5,11,"victory","Cagliari","Napoli",0,1
"2007-08","serie A",1,NA,"26","08","2007","15:00","Ennio Tardini",NA,"Nicola Stefanini",NA,"Parma","Catania",2,2,"28 43","12 44",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"41, 90+4","31, 59, 90",0,0,NA,NA,23,20,NA,NA,15,5,7,3,8,2,1,5,5,3,2,1,0,NA,0,NA,4,0,0,0,0,5,0,43,20,10,10,6,8,3,"draw",NA,NA,NA,NA
"2007-08","serie A",1,NA,"26","08","2007","15:00","Oreste Granillo",NA,"Christian Brighi",NA,"Reggina","Atalanta",1,1,"76","84",0,1,NA,"84",0,1,NA,"84",0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,6,"44, 82, 88","16, 20, 32, 45+2, 47, 49",0,0,NA,NA,20,17,NA,NA,13,4,6,3,7,1,2,5,3,3,1,1,0,NA,0,NA,2,1,1,0,0,9,0,37,17,9,8,7,6,2,"draw",NA,NA,NA,NA
"2007-08","serie A",1,NA,"26","08","2007","15:00","Artemio Franchi",NA,"Daniele Orsato",NA,"Robur Siena","Sampdoria",1,2,"68","34 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"69","53, 80, 90+4",0,0,NA,NA,8,16,NA,NA,9,14,5,7,4,7,4,4,4,3,0,1,0,NA,0,NA,3,0,0,0,0,4,0,24,23,12,11,8,7,1,"victory","Sampdoria","Robur Siena",0,1
"2007-08","serie A",1,NA,"26","08","2007","20:30","Renzo Barbera",NA,"Emidio Morganti",NA,"Palermo","Roma",0,2,NA,"4 27",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"17, 53, 64","76",0,0,NA,NA,10,14,NA,NA,8,7,4,5,4,2,4,3,7,5,2,2,0,NA,0,NA,2,0,0,0,0,4,0,24,15,9,6,7,12,4,"victory","Roma","Palermo",0,1
"2007-08","serie A",2,NA,"01","09","2007","20:30","Carlo Castellani",NA,"Nicola Ayroldi",NA,"Empoli","Inter",0,2,NA,"14 83",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"25, 64","29",0,0,NA,NA,17,16,NA,NA,3,6,1,4,2,2,2,1,4,5,2,5,0,NA,0,NA,2,0,0,0,0,3,0,33,9,5,4,3,9,7,"victory","Inter","Empoli",0,1
"2007-08","serie A",2,NA,"02","09","2007","15:00","Gewiss Stadium",NA,"Luca Marelli",NA,"Atalanta","Parma",2,0,"21 65",NA,1,0,"21",NA,1,0,"21",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4,"23, 57, 90+3","16, 31, 37, 69",0,0,NA,NA,16,18,NA,NA,5,9,2,2,3,7,2,0,3,2,3,8,0,NA,0,NA,2,1,1,0,0,7,0,34,14,4,10,2,5,11,"victory","Atalanta","Parma",1,0
"2007-08","serie A",2,NA,"02","09","2007","15:00","Sant'elia",NA,"Paolo Tagliavento",NA,"Cagliari","Juventus",2,3,"55 80","53 76 90",2,0,"55, 80",NA,2,0,"55, 80",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"36, 74","33, 44, 62, 78",0,0,NA,NA,19,18,NA,NA,14,6,7,4,7,2,1,5,9,2,2,6,0,NA,0,NA,5,2,2,0,0,6,0,37,20,11,9,6,11,8,"victory","Juventus","Cagliari",0,1
"2007-08","serie A",2,NA,"02","09","2007","15:00","Angelo Massimino",NA,"Nicola Rizzoli",NA,"Catania","Genoa",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"27, 60","41, 82, 90+4",0,0,NA,NA,13,26,NA,NA,7,8,1,4,6,4,2,1,6,5,2,1,0,NA,0,NA,0,0,0,0,0,5,0,39,15,5,10,3,11,3,"draw",NA,NA,NA,NA
"2007-08","serie A",2,NA,"02","09","2007","15:00","Armando Picchi",NA,"Roberto Rosetti",NA,"Livorno","Palermo",2,4,"54 75","9 23 36 44",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"63","70, 73, 75, 86",0,0,NA,NA,21,15,NA,NA,9,11,4,6,5,5,1,2,4,3,2,1,0,NA,0,NA,6,0,0,0,0,5,0,36,20,10,10,3,7,3,"victory","Palermo","Livorno",0,1
"2007-08","serie A",2,NA,"02","09","2007","15:00","Olimpico",NA,"Antonio Damato",NA,"Roma","Robur Siena",3,0,"17 82 89",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"90+4","51, 55",0,0,NA,NA,9,10,NA,NA,16,8,9,4,7,4,4,5,6,6,4,2,0,NA,0,NA,3,0,0,0,0,3,0,19,24,13,11,9,12,6,"victory","Roma","Robur Siena",1,0
"2007-08","serie A",2,NA,"02","09","2007","15:00","Olimpico",NA,"Antonio Danilo Giannoccaro",NA,"Torino","Reggina",2,2,"45 58","31 89",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"41, 49","34, 75",0,0,NA,NA,18,11,NA,NA,9,7,7,5,2,2,3,4,5,7,1,0,0,NA,0,NA,4,0,0,0,0,4,0,29,16,12,4,7,12,1,"draw",NA,NA,NA,NA
"2007-08","serie A",2,NA,"02","09","2007","15:00","Dacia Arena",NA,"Andrea Gervasoni",NA,"Udinese","Napoli",0,5,NA,"16 41 65 70 81",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"27","18, 26",0,0,NA,NA,12,20,NA,NA,11,11,4,7,7,4,2,4,5,5,3,0,0,NA,0,NA,5,0,0,0,0,3,0,32,22,11,11,6,10,3,"victory","Napoli","Udinese",0,1
"2007-08","serie A",2,NA,"02","09","2007","20:30","Luigi Ferraris",NA,"Gianluca Rocchi",NA,"Sampdoria","Lazio",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"54","16, 25, 66, 90+2",0,0,NA,NA,26,23,NA,NA,6,4,2,2,4,2,2,2,4,6,6,1,0,NA,0,NA,0,0,0,0,0,5,0,49,10,4,6,4,10,7,"draw",NA,NA,NA,NA
"2007-08","serie A",2,NA,"03","09","2007","18:00","Giuseppe Meazza",NA,"Stefano Farina",NA,"Milan","Fiorentina",1,1,"27","56",1,0,"27",NA,1,0,"27",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"83","79, 83, 90+3",0,0,NA,NA,23,24,NA,NA,4,6,2,4,2,2,2,2,7,4,2,2,0,NA,0,NA,2,1,1,0,0,4,0,47,10,6,4,4,11,4,"draw",NA,NA,NA,NA
