"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2004-05","serie A",1,NA,"11","09","2004","18:00","Marcantonio Bentegodi",NA,"Gianluca Paparesta",NA,"Chievoverona","Inter",2,2,"29 37","16 48",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"90+1","12, 60, 76",0,0,NA,NA,14,18,NA,NA,14,14,6,6,8,8,4,3,7,2,4,2,0,NA,0,NA,4,0,0,0,0,4,0,32,28,12,16,7,9,6,"draw",NA,NA,NA,NA
"2004-05","serie A",1,NA,"11","09","2004","20:30","Giuseppe Meazza",NA,"Tiziano Pieri",NA,"Milan","Livorno",2,2,"3 47","9 67",0,1,NA,"9",0,1,NA,"9",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,4,1,1,0,0,0,1,0,0,0,0,0,0,0,"draw",NA,NA,NA,NA
"2004-05","serie A",1,NA,"12","09","2004","15:00","Gewiss Stadium",NA,"Pasquale Rodomonti",NA,"Atalanta","Lecce",2,2,"2 52","9 76",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"21","31, 77, 90+1",0,0,NA,NA,11,22,NA,NA,15,15,10,7,5,8,5,7,4,3,5,1,0,NA,0,NA,4,0,0,0,0,4,0,33,30,17,13,12,7,6,"draw",NA,NA,NA,NA
"2004-05","serie A",1,NA,"12","09","2004","15:00","Mario Rigamonti",NA,"Matteo Simone Trefoloni",NA,"Brescia","Juventus",0,3,NA,"35 38 69",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"3, 33, 69","27",0,0,NA,NA,25,27,NA,NA,3,11,2,8,1,3,4,2,4,6,1,2,0,NA,0,NA,3,0,0,0,0,4,0,52,14,10,4,6,10,3,"victory","Juventus","Brescia",0,1
"2004-05","serie A",1,NA,"12","09","2004","15:00","Sant'elia",NA,"Pierluigi Collina",NA,"Cagliari","Bologna",1,0,"19",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,4,"58","2, 25, 56, 64",0,0,NA,NA,31,17,NA,NA,12,7,6,3,6,4,3,5,6,5,1,5,0,NA,0,NA,1,0,0,0,0,5,0,48,19,9,10,8,11,6,"victory","Cagliari","Bologna",1,0
"2004-05","serie A",1,NA,"12","09","2004","15:00","Renzo Barbera",NA,"Massimiliano Saccani",NA,"Palermo","Robur Siena",1,0,"22",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"38, 78","28, 34",0,0,NA,NA,22,34,NA,NA,9,7,5,2,4,5,2,4,7,2,6,1,0,NA,0,NA,1,0,0,0,0,4,0,56,16,7,9,6,9,7,"victory","Palermo","Robur Siena",1,0
"2004-05","serie A",1,NA,"12","09","2004","15:00","Ennio Tardini",NA,"Nicola Rizzoli",NA,"Parma","Messina",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"25","87",0,0,NA,NA,13,28,NA,NA,12,7,8,1,4,6,1,6,12,4,0,0,0,NA,0,NA,0,0,0,0,0,2,0,41,19,9,10,7,16,0,"draw",NA,NA,NA,NA
"2004-05","serie A",1,NA,"12","09","2004","15:00","Oreste Granillo",NA,"Daniele Tombolini",NA,"Reggina","Udinese",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"79","36, 62",1,0,NA,NA,19,17,NA,NA,10,7,5,3,5,4,3,4,3,1,1,1,0,NA,0,NA,0,0,0,0,0,3,1,36,17,8,9,7,4,2,"draw",NA,NA,NA,NA
"2004-05","serie A",1,NA,"12","09","2004","15:00","Olimpico",NA,"Paolo Dondarini",NA,"Roma","Fiorentina",1,0,"53",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"32, 62, 67","33",1,1,"13",NA,24,18,NA,NA,15,7,7,3,8,4,3,6,3,4,3,3,0,NA,0,NA,1,0,0,0,0,4,2,42,22,10,12,9,7,6,"victory","Roma","Fiorentina",1,0
"2004-05","serie A",1,NA,"12","09","2004","20:30","Luigi Ferraris",NA,"Roberto Rosetti",NA,"Sampdoria","Lazio",0,1,NA,"29",0,1,NA,"29",0,1,NA,"29",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,1,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,1,1,0,0,0,1,0,0,0,0,0,0,0,"victory","Lazio","Sampdoria",0,1
