"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_ownGoals","away_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_fair","team_win_home","team_win_away"
"2021_2022","Seria A",2,NA,"27","08","2021","18:30","Dacia Arena",NA,"Livio Marinelli",NA,"Udinese","Venezia",3,0,"29 70 90+3",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,44,56,2,3,"74, 85","52, 77, 90",0,0,NA,NA,11,8,"6","10",18,8,10,3,2,4,3,7,7,2,4,2,3,0,0,0,0,5,0,19,26,13,6,10,9,6,"victory","Udinese","Venezia",NA,1,0
"2021_2022","Seria A",2,NA,"27","08","2021","20:45","Marcantonio Bentegodi",NA,"Gianluca Manganiello",NA,"Hellas Verona","Inter",1,3,"15","47 83 90+4",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,45,55,2,2,"28, 88","57, 64",0,0,NA,NA,13,12,"12","13",4,15,1,8,2,4,5,0,6,4,1,0,4,0,0,0,0,4,0,25,19,9,6,5,10,1,"victory","Inter","Hellas Verona",NA,0,1
"2021_2022","Seria A",2,NA,"28","08","2021","18:30","Gewiss Stadium",NA,"Daniele Orsato",NA,"Atalanta","Bologna",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,56,44,2,5,"36, 79","35, 49, 53, 57, 64",0,0,NA,NA,11,14,"12","10",21,3,3,1,9,1,1,3,5,5,2,0,0,0,0,0,0,7,0,25,24,4,10,4,10,2,"draw",NA,NA,NA,NA,NA
"2021_2022","Seria A",2,NA,"28","08","2021","18:30","Olimpico",NA,"Federico Dionisi",NA,"Lazio","Spezia",6,1,"5 15 45+2 47 70 85","4",1,0,"45+1",NA,0,0,NA,NA,1,0,"45+1",NA,0,0,NA,NA,60,40,0,2,NA,"45+1, 49",0,1,"54",NA,12,9,"9","12",18,5,10,2,3,2,1,4,4,2,1,0,7,1,0,1,0,2,1,21,23,12,5,5,6,1,"victory","Lazio","Spezia",NA,1,0
"2021_2022","Seria A",2,NA,"28","08","2021","20:45","Artemio Franchi",NA,"Maurizio Mariani",NA,"Fiorentina","Torino",2,1,"41 70","89",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,62,38,4,5,"22, 38, 48, 66","39, 45, 65, 80, 83",0,0,NA,NA,13,28,"26","12",10,4,7,1,2,2,0,5,3,3,3,2,3,0,0,0,0,9,0,41,14,8,4,5,6,5,"victory","Fiorentina","Torino",NA,1,0
"2021_2022","Seria A",2,NA,"28","08","2021","20:45","Allianz Stadium",NA,"Davide Ghersini",NA,"Juventus","Empoli",0,1,NA,"21",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,52,48,2,3,"81, 89","32, 44, 56",0,0,NA,NA,11,6,"6","11",20,9,6,3,11,3,2,6,8,9,1,3,1,0,0,0,0,5,0,17,29,9,14,8,17,4,"victory","Empoli","Juventus",NA,0,1
"2021_2022","Seria A",2,NA,"29","08","2021","18:30","Luigi Ferraris",NA,"Marco Di Bello",NA,"Genoa","Napoli",1,2,"69","39 84",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,42,58,2,3,"11, 51","45, 49, 90",0,0,NA,NA,17,15,"15","17",7,12,3,8,2,2,6,2,4,5,3,2,3,0,0,0,0,5,0,32,19,11,4,8,9,5,"victory","Napoli","Genoa",NA,0,1
"2021_2022","Seria A",2,NA,"29","08","2021","18:30","Mapei Stadium",NA,"Juan Luca Sacchi",NA,"Sassuolo","Sampdoria",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,65,35,2,2,"49, 78","41, 90+3",0,0,NA,NA,9,14,"14","7",19,13,6,3,9,7,3,6,8,6,0,3,0,0,0,0,0,4,0,23,32,9,16,9,14,3,"draw",NA,NA,NA,NA,NA
"2021_2022","Seria A",2,NA,"29","08","2021","20:45","Giuseppe Meazza",NA,"Marco Serra",NA,"Milan","Cagliari",4,1,"12 17 24 43","15",1,0,"43",NA,1,0,"43",NA,0,0,NA,NA,0,0,NA,NA,60,40,1,5,"73","5, 38, 41, 62, 84",0,0,NA,NA,12,11,"10","12",17,6,5,2,4,3,1,1,8,3,1,0,5,1,1,0,0,6,0,23,23,7,7,2,11,1,"victory","Milan","Cagliari",NA,1,0
"2021_2022","Seria A",2,NA,"29","08","2021","20:45","Arechi",NA,"Rosario Abisso",NA,"Salernitana","Roma",0,4,NA,"48 52 69 79",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,23,77,2,2,"35, 50","40, 67",0,0,NA,NA,12,11,"10","12",4,21,0,10,4,4,6,0,1,10,2,3,4,0,0,0,0,4,0,23,25,10,8,6,11,5,"victory","Roma","Salernitana",NA,0,1
