"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2019-20","serie A",1,NA,"24","08","2019","18:00","Ennio Tardini",NA,"Fabio Maresca",NA,"Parma","Juventus",0,1,NA,"21",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,39,61,2,3,"27, 45","53, 88, 90+1",0,0,NA,NA,12,14,"14","11",5,9,4,4,1,5,3,4,5,8,3,2,0,NA,0,NA,1,0,0,0,0,5,0,26,14,8,6,7,13,5,"victory","Juventus","Parma",0,1
"2019-20","serie A",1,NA,"24","08","2019","20:45","Artemio Franchi",NA,"Davide Massa",NA,"Fiorentina","Napoli",3,4,"9 52 65","38 43 56 67",1,1,"9","43",1,1,"9","43",0,0,NA,NA,NA,NA,NA,NA,46,54,2,4,"90+3, 90+5","19, 20, 24, 90+1",0,0,NA,NA,21,16,"15","20",10,8,6,6,4,2,2,3,4,5,1,0,0,NA,0,NA,7,2,2,0,0,6,0,37,18,12,6,5,9,1,"victory","Napoli","Fiorentina",0,1
"2019-20","serie A",1,NA,"25","08","2019","18:00","Dacia Arena",NA,"Fabrizio Pasqua",NA,"Udinese","Milan",1,0,"72",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,43,57,1,3,"45+5","22, 34, 44",0,0,NA,NA,14,11,"10","13",11,6,6,0,5,6,0,5,9,4,0,0,0,NA,0,NA,1,0,0,0,0,4,0,25,17,6,11,5,13,0,"victory","Udinese","Milan",1,0
"2019-20","serie A",1,NA,"25","08","2019","20:45","Sardegna Arena",NA,"Eugenio Abbattista",NA,"Cagliari","Brescia",0,1,NA,"54",0,1,NA,"54",0,1,NA,"54",0,0,NA,NA,NA,NA,NA,NA,53,47,2,2,"45+3, 71","61, 74",0,0,NA,NA,10,11,"11","9",9,8,5,3,4,5,2,4,8,8,2,6,0,NA,0,NA,1,1,1,0,0,4,0,21,17,8,9,6,16,8,"victory","Brescia","Cagliari",0,1
"2019-20","serie A",1,NA,"25","08","2019","20:45","Marcantonio Bentegodi",NA,"Antonio Giua",NA,"Hellas Verona","Bologna",1,1,"37","15",0,1,NA,"15",0,1,NA,"15",0,0,NA,NA,NA,NA,NA,NA,23,77,1,3,"18","65, 80, 88",1,0,NA,NA,12,13,"11","12",5,14,2,5,3,9,4,1,1,6,2,1,0,NA,0,NA,2,1,1,0,0,4,1,25,19,7,12,5,7,3,"draw",NA,NA,NA,NA
"2019-20","serie A",1,NA,"25","08","2019","20:45","Olimpico",NA,"Gianpaolo Calvarese",NA,"Roma","Genoa",3,3,"6 30 49","16 43 70",0,1,NA,"43",0,1,NA,"43",0,0,NA,NA,NA,NA,NA,NA,57,43,3,1,"38, 42, 74","56",0,0,NA,NA,15,13,"12","15",17,6,9,4,8,2,1,6,5,1,0,6,0,NA,0,NA,6,1,1,0,0,4,0,28,23,13,10,7,6,6,"draw",NA,NA,NA,NA
"2019-20","serie A",1,NA,"25","08","2019","20:45","Luigi Ferraris",NA,"Gianluca Rocchi",NA,"Sampdoria","Lazio",0,3,NA,"37 56 62",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,46,54,2,2,"25, 59","21, 43",0,0,NA,NA,13,11,"11","13",12,16,8,10,4,6,7,8,5,9,1,6,0,NA,0,NA,3,0,0,0,0,4,0,24,28,18,10,15,14,7,"victory","Lazio","Sampdoria",0,1
"2019-20","serie A",1,NA,"25","08","2019","20:45","Paolo Mazza",NA,"Gianluca Manganiello",NA,"Spal","Atalanta",2,3,"7 27","34 71 76",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,43,57,2,1,"61, 90+3","43",0,0,NA,NA,13,16,"13","12",8,18,3,14,5,4,10,1,2,10,2,2,0,NA,0,NA,5,0,0,0,0,3,0,29,26,17,9,11,12,4,"victory","Atalanta","Spal",0,1
"2019-20","serie A",1,NA,"25","08","2019","20:45","Olimpico Grande Torino",NA,"Michael Fabbri",NA,"Torino","Sassuolo",2,1,"14 55","69",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,42,58,4,3,"24, 35, 77, 90+2","11, 45+3, 78",0,0,NA,NA,21,15,"14","20",8,13,5,9,3,4,7,2,6,6,3,0,0,NA,0,NA,3,0,0,0,0,7,0,36,21,14,7,9,12,3,"victory","Torino","Sassuolo",1,0
"2019-20","serie A",1,NA,"26","08","2019","20:45","Giuseppe Meazza",NA,"Federico La Penna",NA,"Inter","Lecce",4,0,"21 24 60 84",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,66,34,1,2,"40","38, 52",0,1,"76",NA,14,8,"8","12",16,10,7,4,9,6,2,3,7,7,5,0,0,NA,0,NA,4,0,0,0,0,3,1,22,26,11,15,5,14,5,"victory","Inter","Lecce",1,0
