"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2003/2004","serie A",1,NA,"30","08","2003","18:00","Oreste Granillo",NA,"Massimo De Santis",NA,"Reggina","Sampdoria",2,2,"5 41","64 73",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"72","10, 22, 57",0,0,NA,NA,28,23,NA,NA,7,13,5,7,2,6,0,0,3,11,3,3,0,NA,0,NA,4,0,0,0,0,4,0,51,20,12,8,0,14,6,"draw",NA,NA,NA,NA
"2003/2004","serie A",1,NA,"31","08","2003","15:00","Mario Rigamonti",NA,"Marco Gabriele",NA,"Brescia","Chievoverona",1,1,"57","12",1,0,"57",NA,1,0,"57",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"draw",NA,NA,NA,NA
"2003/2004","serie A",1,NA,"31","08","2003","15:00","Giuseppe Meazza",NA,"Stefano Farina",NA,"Inter","Modena",2,0,"86 90+4",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"24","20, 84, 90+4",0,0,NA,NA,18,16,NA,NA,18,6,7,0,11,6,0,0,8,1,4,1,0,NA,0,NA,2,0,0,0,0,4,0,34,24,7,17,0,9,5,"victory","Inter","Modena",1,0
"2003/2004","serie A",1,NA,"31","08","2003","15:00","Delle Alpi",NA,"Emilio Pellegrino",NA,"Juventus","Empoli",5,1,"16 51 61 74 85","88",1,0,"85",NA,1,0,"85",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,9,13,NA,NA,17,10,12,6,5,4,0,0,8,3,2,4,0,NA,0,NA,6,1,1,0,0,0,0,22,27,18,9,0,11,6,"victory","Juventus","Empoli",1,0
"2003/2004","serie A",1,NA,"31","08","2003","15:00","Olimpico",NA,"Paolo Bertini",NA,"Lazio","Lecce",4,1,"20 25 35 84","50",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"30","54",0,0,NA,NA,14,8,NA,NA,11,15,6,10,5,5,0,0,7,5,3,0,0,NA,0,NA,5,0,0,0,0,2,0,22,26,16,10,0,12,3,"victory","Lazio","Lecce",1,0
"2003/2004","serie A",1,NA,"31","08","2003","15:00","Renato Curi",NA,"Pasquale Rodomonti",NA,"Perugia","Robur Siena",2,2,"9 27","19 48",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"draw",NA,NA,NA,NA
"2003/2004","serie A",1,NA,"31","08","2003","15:00","Dacia Arena",NA,"Matteo Simone Trefoloni",NA,"Udinese","Roma",1,2,"26","13 70",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,4,NA,"22, 57, 65, 80",1,0,NA,NA,14,22,NA,NA,9,12,4,7,5,5,0,0,7,5,1,3,0,NA,0,NA,3,0,0,0,0,4,1,36,21,11,10,0,12,4,"victory","Roma","Udinese",0,1
"2003/2004","serie A",1,NA,"31","08","2003","20:30","Renato Dall'ara",NA,"Cosimo Bolognino",NA,"Bologna","Parma",2,2,"8 78","20 87",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"81","39, 90+5",0,0,NA,NA,15,22,NA,NA,9,7,6,5,3,2,4,2,2,6,2,3,0,NA,0,NA,4,0,0,0,0,3,0,37,16,11,5,6,8,5,"draw",NA,NA,NA,NA
"2003/2004","serie A",1,NA,"01","09","2003","20:30","Del Conero",NA,"Pierluigi Collina",NA,"Ancona","Milan",0,2,NA,"30 75",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,2,NA,"49, 56",1,1,"58",NA,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,2,0,0,0,0,2,2,0,0,0,0,0,0,0,"victory","Milan","Ancona",0,1
"2003/2004","serie A",2,NA,"13","09","2003","18:00","Luigi Ferraris",NA,"Domenico Messina",NA,"Sampdoria","Lazio",1,2,"73","8 64",0,1,NA,"64",0,1,NA,"64",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"66, 77","45, 90+2",0,0,NA,NA,26,29,NA,NA,5,5,3,4,2,1,0,0,7,2,2,0,0,NA,0,NA,3,1,1,0,0,4,0,55,10,7,3,0,9,2,"victory","Lazio","Sampdoria",0,1
