"season","league","matchweek","weekday","day","month","year","hour","stadium","attendance","referee","referee_var","home_team","away_team","home_team_score","away_team_score","home_team_score_time","away_team_score_time","home_team_penalty","away_team_penalty","home_team_penalty_time","away_team_penalty_time","home_team_penalty_scored","away_team_penalty_scored","home_team_penalty_scored_time","away_team_penalty_scored_time","home_team_penalty_missed","away_team_penalty_missed","home_team_penalty_missed_time","away_team_penalty_missed_time","home_team_own_goals","away_team_own_goals","home_team_own_goals_time","away_team_own_goals_time","home_team_possession","away_team_possession","home_team_yellow_card","away_team_yellow_card","home_team_yellow_card_time","away_team_yellow_card_time","home_team_red_card","away_team_red_card","home_team_red_card_time","away_team_red_card_time","home_team_fouls_committed","away_team_fouls_committed","home_team_fouls_won","away_team_fouls_won","home_team_shots","away_team_shots","home_team_shots_onTarget","away_team_shots_onTarget","home_team_shots_offTarget","away_team_shots_offTarget","home_team_shots_blocked","away_team_shots_blocked","home_team_corners","away_team_corners","home_team_offsides","away_team_offsides","home_team_ownGoals","home_team_ownGoals_time","away_team_ownGoals","away_team_ownGoals_time","total_score","total_penalty","total_penalty_scored","total_penalty_missed","total_ownGoals","total_yellow_card","total_red_card","total_fouls_committed","total_shots","total_shots_onTarget","total_shots_offTarget","total_shots_blocked","total_corner","total_offsides","match_final","team_won","team_lost","team_win_home","team_win_away"
"2013/2014","serie A",1,NA,"24","08","2013","18:00","Marcantonio Bentegodi",NA,"Gianpaolo Calvarese",NA,"Hellas Verona","Milan",2,1,"30 53","14",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"20, 42","27, 50, 90",0,0,NA,NA,10,13,NA,NA,13,11,9,5,4,6,4,7,6,5,3,0,0,NA,0,NA,3,0,0,0,0,5,0,23,24,14,10,11,11,3,"victory","Hellas Verona","Milan",1,0
"2013/2014","serie A",1,NA,"24","08","2013","20:45","Luigi Ferraris",NA,"Luca Banti",NA,"Sampdoria","Juventus",0,1,NA,"58",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"52, 60","64, 81, 83",1,0,NA,NA,22,18,NA,NA,4,11,2,3,2,8,2,2,4,10,1,1,0,NA,0,NA,1,0,0,0,0,5,1,40,15,5,10,4,14,2,"victory","Juventus","Sampdoria",0,1
"2013/2014","serie A",1,NA,"25","08","2013","18:00","Giuseppe Meazza",NA,"Marco Guida",NA,"Inter","Genoa",2,0,"75 90+2",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"89, 90+4","65, 72, 87",0,0,NA,NA,16,9,NA,NA,13,3,7,0,6,3,0,4,12,2,4,2,0,NA,0,NA,2,0,0,0,0,5,0,25,16,7,9,4,14,6,"victory","Inter","Genoa",1,0
"2013/2014","serie A",1,NA,"25","08","2013","20:45","Sant'elia",NA,"Massimiliano Irrati",NA,"Cagliari","Atalanta",2,1,"28 63","27",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"11, 68","10, 18, 36, 51",0,0,NA,NA,17,16,NA,NA,16,10,8,4,8,6,2,5,10,3,2,1,0,NA,0,NA,3,0,0,0,0,6,0,33,26,12,14,7,13,3,"victory","Cagliari","Atalanta",1,0
"2013/2014","serie A",1,NA,"25","08","2013","20:45","Olimpico",NA,"Andrea Gervasoni",NA,"Lazio","Udinese",2,1,"13 16","60",1,0,"16",NA,1,0,"16",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"7, 34, 90+1","2, 16, 90+5",0,0,NA,NA,14,12,NA,NA,12,5,6,2,6,3,1,5,4,3,1,1,0,NA,0,NA,3,1,1,0,0,6,0,26,17,8,9,6,7,2,"victory","Lazio","Udinese",1,0
"2013/2014","serie A",1,NA,"25","08","2013","20:45","Armando Picchi",NA,"Davide Massa",NA,"Livorno","Roma",0,2,NA,"65 67",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"45","22, 61",0,0,NA,NA,11,16,NA,NA,5,14,3,8,2,6,4,3,2,8,1,3,0,NA,0,NA,2,0,0,0,0,3,0,27,19,11,8,7,10,4,"victory","Roma","Livorno",0,1
"2013/2014","serie A",1,NA,"25","08","2013","20:45","San Paolo",NA,"Andrea De Marco",NA,"Napoli","Bologna",3,0,"32 45+2 63",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"28","3, 85, 88",0,0,NA,NA,9,14,NA,NA,13,4,7,2,6,2,2,3,0,5,2,3,0,NA,0,NA,3,0,0,0,0,4,0,23,17,9,8,5,5,5,"victory","Napoli","Bologna",1,0
"2013/2014","serie A",1,NA,"25","08","2013","20:45","Ennio Tardini",NA,"Nicola Rizzoli",NA,"Parma","Chievoverona",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,"54, 73","54, 77, 77",0,0,NA,NA,16,10,NA,NA,11,11,5,5,6,6,5,5,7,2,3,1,0,NA,0,NA,0,0,0,0,0,5,0,26,22,10,12,10,9,4,"draw",NA,NA,NA,NA
"2013/2014","serie A",1,NA,"25","08","2013","20:45","Olimpico",NA,"Daniele Orsato",NA,"Torino","Sassuolo",2,0,"40 63",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"43, 69, 81","65, 85",0,0,NA,NA,15,11,NA,NA,12,10,8,4,4,6,4,5,4,5,3,0,0,NA,0,NA,2,0,0,0,0,5,0,26,22,12,10,9,9,3,"victory","Torino","Sassuolo",1,0
"2013/2014","serie A",1,NA,"26","08","2013","20:45","Artemio Franchi",NA,"Daniele Doveri",NA,"Fiorentina","Catania",2,1,"14 28","22",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,4,"17, 74","34, 45+1, 50, 90+3",0,0,NA,NA,15,20,NA,NA,14,12,8,4,6,8,3,5,3,3,3,4,0,NA,0,NA,3,0,0,0,0,6,0,35,26,12,14,8,6,7,"victory","Fiorentina","Catania",1,0
"2013/2014","serie A",2,NA,"31","08","2013","18:00","Marcantonio Bentegodi",NA,"Paolo Valeri",NA,"Chievoverona","Napoli",2,4,"24 40","13 27 64 70",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"57","62",0,0,NA,NA,11,11,NA,NA,10,14,6,8,4,6,3,3,3,4,0,2,0,NA,0,NA,6,0,0,0,0,2,0,22,24,14,10,6,7,2,"victory","Napoli","Chievoverona",0,1
"2013/2014","serie A",2,NA,"31","08","2013","20:45","Allianz Stadium",NA,"Paolo Tagliavento",NA,"Juventus","Lazio",4,1,"14 26 49 80","28",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"25","38",0,0,NA,NA,12,14,NA,NA,11,17,7,12,4,5,11,2,4,5,4,1,0,NA,0,NA,5,0,0,0,0,2,0,26,28,19,9,13,9,5,"victory","Juventus","Lazio",1,0
"2013/2014","serie A",2,NA,"01","09","2013","18:00","Olimpico",NA,"Piero Giacomelli",NA,"Roma","Hellas Verona",3,0,"56 59 66",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"30, 43","45+1",0,0,NA,NA,6,11,NA,NA,23,8,12,2,11,6,1,9,9,3,1,0,1,"56",0,NA,3,0,0,0,1,3,0,17,31,14,17,10,12,1,"victory","Roma","Hellas Verona",1,0
"2013/2014","serie A",2,NA,"01","09","2013","20:45","Gewiss Stadium",NA,"Mauro Bergonzi",NA,"Atalanta","Torino",2,0,"57 81",NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,"63, 74, 85","47, 84",0,0,NA,NA,16,16,NA,NA,7,12,3,6,4,6,4,1,6,4,1,0,0,NA,0,NA,2,0,0,0,0,5,0,32,19,9,10,5,10,1,"victory","Atalanta","Torino",1,0
"2013/2014","serie A",2,NA,"01","09","2013","20:45","Renato Dall'ara",NA,"Dino Tommasi",NA,"Bologna","Sampdoria",2,2,"41 64","25 71",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,"38, 52, 65","22, 33, 83",0,0,NA,NA,15,12,NA,NA,12,10,8,7,4,3,5,6,5,4,3,0,0,NA,0,NA,4,0,0,0,0,6,0,27,22,15,7,11,9,3,"draw",NA,NA,NA,NA
"2013/2014","serie A",2,NA,"01","09","2013","20:45","Angelo Massimino",NA,"Antonio Damato",NA,"Catania","Inter",0,3,NA,"19 56 80",0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"45+2, 66, 72","43",0,0,NA,NA,16,8,NA,NA,11,16,5,8,6,8,5,5,4,3,1,1,0,NA,0,NA,3,0,0,0,0,4,0,24,27,13,14,10,7,2,"victory","Inter","Catania",0,1
"2013/2014","serie A",2,NA,"01","09","2013","20:45","Luigi Ferraris",NA,"Domenico Celi",NA,"Genoa","Fiorentina",2,5,"54 60","10 14 41 55 90+4",1,1,"60","90+4",1,1,"60","90+4",0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"69, 70","36, 59",0,0,NA,NA,13,7,NA,NA,11,13,8,10,3,3,4,6,10,2,4,1,0,NA,0,NA,7,2,2,0,0,4,0,20,24,18,6,10,12,5,"victory","Fiorentina","Genoa",0,1
